	drug_concept_id	concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason	_c0	_c1	_c7	_c11	_c12	_c13	_c14	_c16
0	929549	929549	acetic acid	Drug	RxNorm	Ingredient	S	168	1970-01-01	2099-12-31		168	ENG	5478476	ATC	IN	G01AD02	acetic acid	N
1	929549	929549	acetic acid	Drug	RxNorm	Ingredient	S	168	1970-01-01	2099-12-31		168	ENG	5478477	ATC	IN	S02AA10	acetic acid	N
2	1154343	1154343	albuterol	Drug	RxNorm	Ingredient	S	435	1970-01-01	2099-12-31		435	ENG	5482182	ATC	IN	R03AC02	salbutamol	N
3	1154343	1154343	albuterol	Drug	RxNorm	Ingredient	S	435	1970-01-01	2099-12-31		435	ENG	5482183	ATC	IN	R03CC02	salbutamol	N
4	985247	985247	aluminum hydroxide	Drug	RxNorm	Ingredient	S	612	1970-01-01	2099-12-31		612	ENG	5478601	ATC	IN	A02AB01	aluminium hydroxide	N
5	1309944	1309944	amiodarone	Drug	RxNorm	Ingredient	S	703	1970-01-01	2099-12-31		703	ENG	5478642	ATC	IN	C01BD01	amiodarone	N
6	712757	712757	amobarbital	Drug	RxNorm	Ingredient	S	719	1970-01-01	2099-12-31		719	ENG	5478651	ATC	IN	N05CA02	amobarbital	N
7	952538	952538	anthralin	Drug	RxNorm	Ingredient	S	873	1970-01-01	2099-12-31		873	ENG	5479824	ATC	IN	D05AC01	dithranol	N
8	1316354	1316354	bendroflumethiazide	Drug	RxNorm	Ingredient	S	1369	1970-01-01	2099-12-31		1369	ENG	5478820	ATC	IN	C03AA01	bendroflumethiazide	N
9	19020124	19020124	betahistine	Drug	RxNorm	Ingredient	S	1511	1970-01-01	2099-12-31		1511	ENG	5478871	ATC	IN	N07CA01	betahistine	N
10	19022956	19022956	bezafibrate	Drug	RxNorm	Ingredient	S	1525	1970-01-01	2099-12-31		1525	ENG	5478903	ATC	IN	C10AB02	bezafibrate	N
11	929698	929698	boric acid	Drug	RxNorm	Ingredient	S	1700	1970-01-01	2099-12-31		1700	ENG	5478943	ATC	IN	S02AA03	boric acid	N
12	932815	932815	levobunolol	Drug	RxNorm	Ingredient	S	1813	1970-01-01	2099-12-31		1813	ENG	5480811	ATC	IN	S01ED03	levobunolol	N
13	1134439	1134439	caffeine	Drug	RxNorm	Ingredient	S	1886	1970-01-01	2099-12-31		1886	ENG	12530804	ATC	IN	D11AX26	caffeine	N
14	1134439	1134439	caffeine	Drug	RxNorm	Ingredient	S	1886	1970-01-01	2099-12-31		1886	ENG	5479031	ATC	IN	N06BC01	caffeine	N
15	939881	939881	capsaicin	Drug	RxNorm	Ingredient	S	1992	1970-01-01	2099-12-31		1992	ENG	5479085	ATC	IN	M02AB01	capsaicin	N
16	939881	939881	capsaicin	Drug	RxNorm	Ingredient	S	1992	1970-01-01	2099-12-31		1992	ENG	5479086	ATC	IN	N01BX04	capsaicin	N
17	1340128	1340128	captopril	Drug	RxNorm	Ingredient	S	1998	1970-01-01	2099-12-31		1998	ENG	5479088	ATC	IN	C09AA01	captopril	N
18	1769535	1769535	cefadroxil	Drug	RxNorm	Ingredient	S	2177	1970-01-01	2099-12-31		2177	ENG	5479146	ATC	IN	J01DB05	cefadroxil	N
19	19095028	19095028	chlorquinaldol	Drug	RxNorm	Ingredient	S	2407	1970-01-01	2099-12-31		2407	ENG	5479271	ATC	IN	D08AH02	chlorquinaldol	N
20	19095028	19095028	chlorquinaldol	Drug	RxNorm	Ingredient	S	2407	1970-01-01	2099-12-31		2407	ENG	5479272	ATC	IN	G01AC03	chlorquinaldol	N
21	19095028	19095028	chlorquinaldol	Drug	RxNorm	Ingredient	S	2407	1970-01-01	2099-12-31		2407	ENG	5479273	ATC	IN	P01AA04	chlorquinaldol	N
22	19095028	19095028	chlorquinaldol	Drug	RxNorm	Ingredient	S	2407	1970-01-01	2099-12-31		2407	ENG	5479274	ATC	IN	R02AA11	chlorquinaldol	N
23	19097481	19097481	cinnarizine	Drug	RxNorm	Ingredient	S	2549	1970-01-01	2099-12-31		2549	ENG	5479334	ATC	IN	N07CA02	cinnarizine	N
24	998415	998415	clobetasol	Drug	RxNorm	Ingredient	S	2590	1970-01-01	2099-12-31		2590	ENG	5479374	ATC	IN	D07AD01	clobetasol	N
25	909358	909358	cyclizine	Drug	RxNorm	Ingredient	S	2977	1970-01-01	2099-12-31		2977	ENG	5479546	ATC	IN	R06AE03	cyclizine	N
26	1517070	1517070	desmopressin	Drug	RxNorm	Ingredient	S	3251	1970-01-01	2099-12-31		3251	ENG	5479628	ATC	IN	H01BA02	desmopressin	N
27	930916	930916	diphenoxylate	Drug	RxNorm	Ingredient	S	3500	1970-01-01	2099-12-31		3500	ENG	5479791	ATC	IN	A07DA01	diphenoxylate	N
28	1143374	1143374	ephedrine	Drug	RxNorm	Ingredient	S	3966	1970-01-01	2099-12-31		3966	ENG	5479933	ATC	IN	C01CA26	ephedrine	N
29	1143374	1143374	ephedrine	Drug	RxNorm	Ingredient	S	3966	1970-01-01	2099-12-31		3966	ENG	5479934	ATC	IN	R01AA03	ephedrine	N
30	1143374	1143374	ephedrine	Drug	RxNorm	Ingredient	S	3966	1970-01-01	2099-12-31		3966	ENG	5479935	ATC	IN	R01AB05	ephedrine	N
31	1143374	1143374	ephedrine	Drug	RxNorm	Ingredient	S	3966	1970-01-01	2099-12-31		3966	ENG	5479936	ATC	IN	R03CA02	ephedrine	N
32	1143374	1143374	ephedrine	Drug	RxNorm	Ingredient	S	3966	1970-01-01	2099-12-31		3966	ENG	5479937	ATC	IN	S01FB02	ephedrine	N
33	1548195	1548195	estradiol	Drug	RxNorm	Ingredient	S	4083	1970-01-01	2099-12-31		4083	ENG	5479991	ATC	IN	G03CA03	estradiol	N
34	1549254	1549254	estrone	Drug	RxNorm	Ingredient	S	4103	1970-01-01	2099-12-31		4103	ENG	5479996	ATC	IN	G03CA07	estrone	N
35	1549254	1549254	estrone	Drug	RxNorm	Ingredient	S	4103	1970-01-01	2099-12-31		4103	ENG	5479997	ATC	IN	G03CC04	estrone	N
36	953076	953076	famotidine	Drug	RxNorm	Ingredient	S	4278	1970-01-01	2099-12-31		4278	ENG	5480075	ATC	IN	A02BA03	famotidine	N
37	1555120	1555120	fludrocortisone	Drug	RxNorm	Ingredient	S	4452	1970-01-01	2099-12-31		4452	ENG	5480183	ATC	IN	H02AA02	fludrocortisone	N
38	19055156	19055156	flumethasone	Drug	RxNorm	Ingredient	S	4458	1970-01-01	2099-12-31		4458	ENG	5480194	ATC	IN	D07AB03	flumetasone	N
39	19055156	19055156	flumethasone	Drug	RxNorm	Ingredient	S	4458	1970-01-01	2099-12-31		4458	ENG	5480195	ATC	IN	D07XB01	flumetasone	N
