	drug_concept_id	CONCEPT_ID	CONCEPT_CODE	CONCEPT_NAME	ONTOLOGY_LOGIC	ONTOLOGY_URI	ONTOLOGY_LABEL	MAPPING_CATEGORY	MAPPING_EVIDENCE
0	528323	528323	797752.0	Hepatitis B Surface Antigen Vaccine	nan	CHEBI_60816	immunogen	Manual One-to-One Concept	Source:DrugBank_DB11627 | Hand Mapping
1	529660	529660	798361.0	Hepatitis A Vaccine (Inactivated) Strain HM175	nan	CHEBI_60816	immunogen	Manual One-to-One Concept	Source:DrugBank_DB10989 | Hand Mapping
2	700299	700299	10502.0	Thioridazine	OR	CHEBI_48566 | CHEBI_9566	thioridazine hydrochloride | thioridazine	Automatic One-to-Many Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00679 | OBO_LABEL-OMOP_ANCESTOR_LABEL:thioridazine | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:thioridazine | OBO_LABEL-OMOP_CONCEPT_LABEL:thioridazine | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:thioridazine | OBO_LABEL-OMOP_CONCEPT_SYNONYM:thioridazine | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:thioridazine | CONCEPT_SIMILARITY:CHEBI_48566_0.614 | CONCEPT_SIMILARITY:CHEBI_9566_1.0
3	703547	703547	10737.0	Trazodone	OR	CHEBI_9655 | CHEBI_9654	trazodone hydrochloride | trazodone	Automatic One-to-Many Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00656 | OBO_LABEL-OMOP_CONCEPT_LABEL:trazodone | OBO_hasExactSynonym-OMOP_CONCEPT_LABEL:trazodone | OBO_LABEL-OMOP_ANCESTOR_LABEL:trazodone | OBO_hasExactSynonym-OMOP_ANCESTOR_LABEL:trazodone | OBO_LABEL-OMOP_CONCEPT_SYNONYM:trazodone | OBO_hasExactSynonym-OMOP_CONCEPT_SYNONYM:trazodone | CONCEPT_SIMILARITY:CHEBI_9654_1.0
4	704943	704943	6845.0	Methocarbamol	nan	CHEBI_6832	methocarbamol	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00423 | OBO_LABEL-OMOP_CONCEPT_LABEL:methocarbamol | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:methocarbamol | OBO_LABEL-OMOP_ANCESTOR_LABEL:methocarbamol | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:methocarbamol | OBO_LABEL-OMOP_CONCEPT_SYNONYM:methocarbamol | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:methocarbamol | CONCEPT_SIMILARITY:CHEBI_6832_1.0
5	704984	704984	10800.0	Trifluoperazine	OR	CHEBI_9710 | CHEBI_45951	trifluoperazine hydrochloride | trifluoperazine	Automatic One-to-Many Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00831 | OBO_LABEL-OMOP_CONCEPT_LABEL:trifluoperazine | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:trifluoperazine | OBO_LABEL-OMOP_ANCESTOR_LABEL:trifluoperazine | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:trifluoperazine | OBO_LABEL-OMOP_CONCEPT_SYNONYM:trifluoperazine | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:trifluoperazine | CONCEPT_SIMILARITY:CHEBI_45951_1.0
6	705103	705103	28439.0	lamotrigine	nan	CHEBI_6367	lamotrigine	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00555 | OBO_LABEL-OMOP_ANCESTOR_LABEL:lamotrigine | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:lamotrigine | OBO_LABEL-OMOP_CONCEPT_LABEL:lamotrigine | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:lamotrigine | OBO_LABEL-OMOP_CONCEPT_SYNONYM:lamotrigine | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:lamotrigine | CONCEPT_SIMILARITY:CHEBI_6367_1.0
7	705755	705755	10834.0	Trimipramine	nan	CHEBI_9738	trimipramine	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00726 | OBO_LABEL-OMOP_CONCEPT_LABEL:trimipramine | OBO_hasExactSynonym-OMOP_CONCEPT_LABEL:trimipramine | OBO_LABEL-OMOP_ANCESTOR_LABEL:trimipramine | OBO_hasExactSynonym-OMOP_ANCESTOR_LABEL:trimipramine | OBO_LABEL-OMOP_CONCEPT_SYNONYM:trimipramine | OBO_hasExactSynonym-OMOP_CONCEPT_SYNONYM:trimipramine | CONCEPT_SIMILARITY:CHEBI_9738_1.0
8	705944	705944	6901.0	Methylphenidate	nan	CHEBI_6887	methylphenidate	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00422 | OBO_LABEL-OMOP_ANCESTOR_LABEL:methylphenidate | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:methylphenidate | OBO_LABEL-OMOP_CONCEPT_LABEL:methylphenidate | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:methylphenidate | OBO_LABEL-OMOP_CONCEPT_SYNONYM:methylphenidate | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:methylphenidate | CONCEPT_SIMILARITY:CHEBI_6887_1.0
9	710062	710062	704.0	Amitriptyline	nan	CHEBI_2666	amitriptyline	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00321 | OBO_LABEL-OMOP_ANCESTOR_LABEL:amitriptyline | OBO_hasExactSynonym-OMOP_ANCESTOR_LABEL:amitriptyline | OBO_LABEL-OMOP_CONCEPT_LABEL:amitriptyline | OBO_hasExactSynonym-OMOP_CONCEPT_LABEL:amitriptyline | OBO_LABEL-OMOP_CONCEPT_SYNONYM:amitriptyline | OBO_hasExactSynonym-OMOP_CONCEPT_SYNONYM:amitriptyline | CONCEPT_SIMILARITY:CHEBI_2666_1.0
10	711584	711584	114477.0	Levetiracetam	nan	CHEBI_6437	levetiracetam	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db01202 | OBO_LABEL-OMOP_ANCESTOR_LABEL:levetiracetam | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:levetiracetam | OBO_LABEL-OMOP_CONCEPT_LABEL:levetiracetam | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:levetiracetam | OBO_LABEL-OMOP_CONCEPT_SYNONYM:levetiracetam | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:levetiracetam | CONCEPT_SIMILARITY:CHEBI_6437_1.0
11	712757	712757	719.0	Amobarbital	nan	CHEBI_2673	amobarbital	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db01351 | OBO_LABEL-OMOP_CONCEPT_LABEL:amobarbital | OBO_hasExactSynonym-OMOP_CONCEPT_LABEL:amobarbital | OBO_LABEL-OMOP_ANCESTOR_LABEL:amobarbital | OBO_hasExactSynonym-OMOP_ANCESTOR_LABEL:amobarbital | OBO_LABEL-OMOP_CONCEPT_SYNONYM:amobarbital | OBO_hasExactSynonym-OMOP_CONCEPT_SYNONYM:amobarbital | CONCEPT_SIMILARITY:CHEBI_2673_1.0
12	714684	714684	31565.0	nefazodone	nan	CHEBI_7494	nefazodone	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db01149 | OBO_LABEL-OMOP_ANCESTOR_LABEL:nefazodone | OBO_hasExactSynonym-OMOP_ANCESTOR_LABEL:nefazodone | OBO_LABEL-OMOP_CONCEPT_LABEL:nefazodone | OBO_hasExactSynonym-OMOP_CONCEPT_LABEL:nefazodone | OBO_LABEL-OMOP_CONCEPT_SYNONYM:nefazodone | OBO_hasExactSynonym-OMOP_CONCEPT_SYNONYM:nefazodone | CONCEPT_SIMILARITY:CHEBI_7494_1.0
13	715233	715233	1292.0	Baclofen	nan	CHEBI_2972	baclofen	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00181 | OBO_LABEL-OMOP_CONCEPT_LABEL:baclofen | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:baclofen | OBO_LABEL-OMOP_ANCESTOR_LABEL:baclofen | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:baclofen | OBO_LABEL-OMOP_CONCEPT_SYNONYM:baclofen | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:baclofen | CONCEPT_SIMILARITY:CHEBI_2972_1.0
14	715939	715939	321988.0	Escitalopram	nan	CHEBI_36791	escitalopram	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db01175 | OBO_LABEL-OMOP_CONCEPT_LABEL:escitalopram | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:escitalopram | OBO_LABEL-OMOP_ANCESTOR_LABEL:escitalopram | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:escitalopram | OBO_LABEL-OMOP_CONCEPT_SYNONYM:escitalopram | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:escitalopram | CONCEPT_SIMILARITY:CHEBI_36791_1.0
15	715997	715997	135447.0	donepezil	nan	CHEBI_53289	donepezil	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00843 | OBO_LABEL-OMOP_CONCEPT_LABEL:donepezil | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:donepezil | OBO_LABEL-OMOP_ANCESTOR_LABEL:donepezil | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:donepezil | OBO_LABEL-OMOP_CONCEPT_SYNONYM:donepezil | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:donepezil | CONCEPT_SIMILARITY:CHEBI_53289_1.0
16	718583	718583	7407.0	Nicotine	OR	CHEBI_17688 | CHEBI_18723	(s)-nicotine | nicotine	Automatic One-to-Many Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00184 | OBO_LABEL-OMOP_ANCESTOR_LABEL:nicotine | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:nicotine | OBO_LABEL-OMOP_CONCEPT_LABEL:nicotine | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:nicotine | OBO_LABEL-OMOP_CONCEPT_SYNONYM:nicotine | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:nicotine | CONCEPT_SIMILARITY:CHEBI_17688_1.0 | CONCEPT_SIMILARITY:CHEBI_18723_1.0
17	721724	721724	7531.0	Nortriptyline	nan	CHEBI_7640	nortriptyline	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00540 | OBO_LABEL-OMOP_ANCESTOR_LABEL:nortriptyline | OBO_hasExactSynonym-OMOP_ANCESTOR_LABEL:nortriptyline | OBO_LABEL-OMOP_CONCEPT_LABEL:nortriptyline | OBO_hasExactSynonym-OMOP_CONCEPT_LABEL:nortriptyline | OBO_LABEL-OMOP_CONCEPT_SYNONYM:nortriptyline | OBO_hasExactSynonym-OMOP_CONCEPT_SYNONYM:nortriptyline | CONCEPT_SIMILARITY:CHEBI_7640_1.0
