	drug_concept_id	concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason	_c0	_c1	_c7	_c11	_c12	_c13	_c14	_c16
0	1319998	1319998	acebutolol	Drug	RxNorm	Ingredient	S	149	1970-01-01	2099-12-31		149	ENG	5478462	ATC	IN	C07AB04	acebutolol	N
1	19024063	19024063	acenocoumarol	Drug	RxNorm	Ingredient	S	154	1970-01-01	2099-12-31		154	ENG	5478470	ATC	IN	B01AA07	acenocoumarol	N
2	929435	929435	acetazolamide	Drug	RxNorm	Ingredient	S	167	1970-01-01	2099-12-31		167	ENG	5478475	ATC	IN	S01EC01	acetazolamide	N
3	929549	929549	acetic acid	Drug	RxNorm	Ingredient	S	168	1970-01-01	2099-12-31		168	ENG	5478476	ATC	IN	G01AD02	acetic acid	N
4	929549	929549	acetic acid	Drug	RxNorm	Ingredient	S	168	1970-01-01	2099-12-31		168	ENG	5478477	ATC	IN	S02AA10	acetic acid	N
5	1701928	1701928	activated charcoal	Drug	RxNorm	Ingredient	S	272	1970-01-01	2099-12-31		272	ENG	5480989	ATC	IN	A07BA01	medicinal charcoal	N
6	1541079	1541079	corticotropin	Drug	RxNorm	Ingredient	S	376	1970-01-01	2099-12-31		376	ENG	5479522	ATC	IN	H01AA01	corticotropin	N
7	1154343	1154343	albuterol	Drug	RxNorm	Ingredient	S	435	1970-01-01	2099-12-31		435	ENG	5482182	ATC	IN	R03AC02	salbutamol	N
8	1154343	1154343	albuterol	Drug	RxNorm	Ingredient	S	435	1970-01-01	2099-12-31		435	ENG	5482183	ATC	IN	R03CC02	salbutamol	N
9	955372	955372	ethanol	Drug	RxNorm	Ingredient	S	448	1970-01-01	2099-12-31		448	ENG	5480013	ATC	IN	D08AX08	ethanol	N
10	955372	955372	ethanol	Drug	RxNorm	Ingredient	S	448	1970-01-01	2099-12-31		448	ENG	5480014	ATC	IN	V03AB16	ethanol	N
11	955372	955372	ethanol	Drug	RxNorm	Ingredient	S	448	1970-01-01	2099-12-31		448	ENG	5480015	ATC	IN	V03AZ01	ethanol	N
12	1169352	1169352	alpha 1-antitrypsin	Drug	RxNorm	Ingredient	S	535	1970-01-01	2099-12-31		535	ENG	5478550	ATC	IN	B02AB02	alfa1 antitrypsin	N
13	781039	781039	alprazolam	Drug	RxNorm	Ingredient	S	596	1970-01-01	2099-12-31		596	ENG	5478583	ATC	IN	N05BA12	alprazolam	N
14	985247	985247	aluminum hydroxide	Drug	RxNorm	Ingredient	S	612	1970-01-01	2099-12-31		612	ENG	5478601	ATC	IN	A02AB01	aluminium hydroxide	N
15	19123348	19123348	aluminum oxide	Drug	RxNorm	Ingredient	S	615	1970-01-01	2099-12-31		615	ENG	5478603	ATC	IN	D10AX04	aluminium oxide	N
16	19088223	19088223	amdinocillin pivoxil	Drug	RxNorm	Ingredient	S	627	1970-01-01	2099-12-31		627	ENG	5481821	ATC	IN	J01CA08	pivmecillinam	N
17	1309944	1309944	amiodarone	Drug	RxNorm	Ingredient	S	703	1970-01-01	2099-12-31		703	ENG	5478642	ATC	IN	C01BD01	amiodarone	N
18	712757	712757	amobarbital	Drug	RxNorm	Ingredient	S	719	1970-01-01	2099-12-31		719	ENG	5478651	ATC	IN	N05CA02	amobarbital	N
19	952538	952538	anthralin	Drug	RxNorm	Ingredient	S	873	1970-01-01	2099-12-31		873	ENG	5479824	ATC	IN	D05AC01	dithranol	N
20	1314865	1314865	azacitidine	Drug	RxNorm	Ingredient	S	1251	1970-01-01	2099-12-31		1251	ENG	5478760	ATC	IN	L01BC07	azacitidine	N
21	1316354	1316354	bendroflumethiazide	Drug	RxNorm	Ingredient	S	1369	1970-01-01	2099-12-31		1369	ENG	5478820	ATC	IN	C03AA01	bendroflumethiazide	N
22	19020124	19020124	betahistine	Drug	RxNorm	Ingredient	S	1511	1970-01-01	2099-12-31		1511	ENG	5478871	ATC	IN	N07CA01	betahistine	N
