	drug_concept_id	CONCEPT_ID	CONCEPT_CODE	CONCEPT_NAME	ONTOLOGY_LOGIC	ONTOLOGY_URI	ONTOLOGY_LABEL	MAPPING_CATEGORY	MAPPING_EVIDENCE
0	523283	523283	763096.0	poliovirus vaccine inactivated, type 1 (Mahoney)	nan	CHEBI_60816	immunogen	Manual One-to-One Concept	Source:DrugBank_DB10795 | Hand Mapping | Expert Reviewed Mapping
1	529303	529303	798304.0	diphtheria toxoid vaccine, inactivated	nan	CHEBI_60816	immunogen	Manual One-to-One Concept	Hand Mapping
2	529411	529411	798306.0	tetanus toxoid vaccine, inactivated	nan	CHEBI_60816	immunogen	Manual One-to-One Concept	Source:DrugBank_DB10583 | Hand Mapping | Expert Reviewed Mapping
3	532881	532881	807219.0	Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain	AND	CHEBI_60816 | CHEBI_65212	immunogen | polysaccharide derivative	Manual One-to-Many Concept	Source:DrugBank_DB10803 | Hand Mapping
4	702865	702865	6760.0	Meprobamate	nan	CHEBI_6761	meprobamate	Automatic One-to-One Concept	OBO_LABEL-OMOP_ANCESTOR_LABEL:meprobamate | OBO_hasExactSynonym-OMOP_ANCESTOR_LABEL:meprobamate | OBO_LABEL-OMOP_CONCEPT_LABEL:meprobamate | OBO_hasExactSynonym-OMOP_CONCEPT_LABEL:meprobamate | OBO_LABEL-OMOP_CONCEPT_SYNONYM:meprobamate | OBO_hasExactSynonym-OMOP_CONCEPT_SYNONYM:meprobamate | CONCEPT_SIMILARITY:CHEBI_6761_1.0
5	703244	703244	679314.0	paliperidone	nan	CHEBI_82978	paliperidone	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db01267 | OBO_LABEL-OMOP_ANCESTOR_LABEL:paliperidone | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:paliperidone | OBO_LABEL-OMOP_CONCEPT_LABEL:paliperidone | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:paliperidone | OBO_LABEL-OMOP_CONCEPT_SYNONYM:paliperidone | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:paliperidone | CONCEPT_SIMILARITY:CHEBI_82978_1.0
6	705944	705944	6901.0	Methylphenidate	nan	CHEBI_6887	methylphenidate	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00422 | OBO_LABEL-OMOP_ANCESTOR_LABEL:methylphenidate | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:methylphenidate | OBO_LABEL-OMOP_CONCEPT_LABEL:methylphenidate | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:methylphenidate | OBO_LABEL-OMOP_CONCEPT_SYNONYM:methylphenidate | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:methylphenidate | CONCEPT_SIMILARITY:CHEBI_6887_1.0
7	710062	710062	704.0	Amitriptyline	nan	CHEBI_2666	amitriptyline	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00321 | OBO_LABEL-OMOP_ANCESTOR_LABEL:amitriptyline | OBO_hasExactSynonym-OMOP_ANCESTOR_LABEL:amitriptyline | OBO_LABEL-OMOP_CONCEPT_LABEL:amitriptyline | OBO_hasExactSynonym-OMOP_CONCEPT_LABEL:amitriptyline | OBO_LABEL-OMOP_CONCEPT_SYNONYM:amitriptyline | OBO_hasExactSynonym-OMOP_CONCEPT_SYNONYM:amitriptyline | CONCEPT_SIMILARITY:CHEBI_2666_1.0
8	714684	714684	31565.0	nefazodone	nan	CHEBI_7494	nefazodone	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db01149 | OBO_LABEL-OMOP_ANCESTOR_LABEL:nefazodone | OBO_hasExactSynonym-OMOP_ANCESTOR_LABEL:nefazodone | OBO_LABEL-OMOP_CONCEPT_LABEL:nefazodone | OBO_hasExactSynonym-OMOP_CONCEPT_LABEL:nefazodone | OBO_LABEL-OMOP_CONCEPT_SYNONYM:nefazodone | OBO_hasExactSynonym-OMOP_CONCEPT_SYNONYM:nefazodone | CONCEPT_SIMILARITY:CHEBI_7494_1.0
9	715233	715233	1292.0	Baclofen	nan	CHEBI_2972	baclofen	Automatic One-to-One Concept	OBO_DbXref-OMOP_ANCESTOR_SOURCE_CODE:drugbank_db00181 | OBO_LABEL-OMOP_CONCEPT_LABEL:baclofen | OBO_hasRelatedSynonym-OMOP_CONCEPT_LABEL:baclofen | OBO_LABEL-OMOP_ANCESTOR_LABEL:baclofen | OBO_hasRelatedSynonym-OMOP_ANCESTOR_LABEL:baclofen | OBO_LABEL-OMOP_CONCEPT_SYNONYM:baclofen | OBO_hasRelatedSynonym-OMOP_CONCEPT_SYNONYM:baclofen | CONCEPT_SIMILARITY:CHEBI_2972_1.0
