	drug_concept_id	concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason	_c0	_c1	_c7	_c9	_c11	_c12	_c13	_c14	_c16
0	1319998	1319998	acebutolol	Drug	RxNorm	Ingredient	S	149	1970-01-01	2099-12-31		149	ENG	8575333	DB01193	DRUGBANK	IN	DB01193	Acebutolol	N
1	19024063	19024063	acenocoumarol	Drug	RxNorm	Ingredient	S	154	1970-01-01	2099-12-31		154	ENG	8368187	DB01418	DRUGBANK	IN	DB01418	Acenocoumarol	N
2	929435	929435	acetazolamide	Drug	RxNorm	Ingredient	S	167	1970-01-01	2099-12-31		167	ENG	8650243	DB00819	DRUGBANK	IN	DB00819	Acetazolamide	N
3	929549	929549	acetic acid	Drug	RxNorm	Ingredient	S	168	1970-01-01	2099-12-31		168	ENG	8393346	DB03166	DRUGBANK	IN	DB03166	Acetic acid	N
4	1701928	1701928	activated charcoal	Drug	RxNorm	Ingredient	S	272	1970-01-01	2099-12-31		272	ENG	8337611	DB09278	DRUGBANK	IN	DB09278	Activated charcoal	N
5	1541079	1541079	corticotropin	Drug	RxNorm	Ingredient	S	376	1970-01-01	2099-12-31		376	ENG	8435737	DB01285	DRUGBANK	IN	DB01285	Corticotropin	N
6	1154343	1154343	albuterol	Drug	RxNorm	Ingredient	S	435	1970-01-01	2099-12-31		435	ENG	12885383	DB01001	DRUGBANK	IN	DB01001	Albuterol	N
7	955372	955372	ethanol	Drug	RxNorm	Ingredient	S	448	1970-01-01	2099-12-31		448	ENG	8591240	DB00898	DRUGBANK	IN	DB00898	Ethanol	N
8	781039	781039	alprazolam	Drug	RxNorm	Ingredient	S	596	1970-01-01	2099-12-31		596	ENG	8656925	DB00404	DRUGBANK	IN	DB00404	Alprazolam	N
9	985247	985247	aluminum hydroxide	Drug	RxNorm	Ingredient	S	612	1970-01-01	2099-12-31		612	ENG	8429696	DB06723	DRUGBANK	IN	DB06723	Aluminum hydroxide	N
10	19123348	19123348	aluminum oxide	Drug	RxNorm	Ingredient	S	615	1970-01-01	2099-12-31		615	ENG	9276231	DB11342	DRUGBANK	IN	DB11342	Aluminum oxide	N
11	19088223	19088223	amdinocillin pivoxil	Drug	RxNorm	Ingredient	S	627	1970-01-01	2099-12-31		627	ENG	8588240	DB01605	DRUGBANK	IN	DB01605	Pivmecillinam	N
12	1309944	1309944	amiodarone	Drug	RxNorm	Ingredient	S	703	1970-01-01	2099-12-31		703	ENG	8512621	DB01118	DRUGBANK	IN	DB01118	Amiodarone	N
13	712757	712757	amobarbital	Drug	RxNorm	Ingredient	S	719	1970-01-01	2099-12-31		719	ENG	8496891	DB01351	DRUGBANK	IN	DB01351	Amobarbital	N
14	952538	952538	anthralin	Drug	RxNorm	Ingredient	S	873	1970-01-01	2099-12-31		873	ENG	9276119	DB11157	DRUGBANK	IN	DB11157	Anthralin	N
15	1314865	1314865	azacitidine	Drug	RxNorm	Ingredient	S	1251	1970-01-01	2099-12-31		1251	ENG	8373471	DB00928	DRUGBANK	IN	DB00928	Azacitidine	N
16	1316354	1316354	bendroflumethiazide	Drug	RxNorm	Ingredient	S	1369	1970-01-01	2099-12-31		1369	ENG	8639945	DB00436	DRUGBANK	IN	DB00436	Bendroflumethiazide	N
17	19020124	19020124	betahistine	Drug	RxNorm	Ingredient	S	1511	1970-01-01	2099-12-31		1511	ENG	8532813	DB06698	DRUGBANK	IN	DB06698	Betahistine	N
18	19022956	19022956	bezafibrate	Drug	RxNorm	Ingredient	S	1525	1970-01-01	2099-12-31		1525	ENG	8267087	DB01393	DRUGBANK	IN	DB01393	Bezafibrate	N
19	724908	724908	biperiden	Drug	RxNorm	Ingredient	S	1589	1970-01-01	2099-12-31		1589	ENG	8463085	DB00810	DRUGBANK	IN	DB00810	Biperiden	N
20	929698	929698	boric acid	Drug	RxNorm	Ingredient	S	1700	1970-01-01	2099-12-31		1700	ENG	9276218	DB11326	DRUGBANK	IN	DB11326	Boric acid	N
21	932815	932815	levobunolol	Drug	RxNorm	Ingredient	S	1813	1970-01-01	2099-12-31		1813	ENG	8308368	DB01210	DRUGBANK	IN	DB01210	Levobunolol	N
22	732893	732893	bupivacaine	Drug	RxNorm	Ingredient	S	1815	1970-01-01	2099-12-31		1815	ENG	8432155	DB00297	DRUGBANK	IN	DB00297	Bupivacaine	N
23	1134439	1134439	caffeine	Drug	RxNorm	Ingredient	S	1886	1970-01-01	2099-12-31		1886	ENG	8547889	DB00201	DRUGBANK	IN	DB00201	Caffeine	N
24	19035631	19035631	calcitriol	Drug	RxNorm	Ingredient	S	1894	1970-01-01	2099-12-31		1894	ENG	8400299	DB00136	DRUGBANK	IN	DB00136	Calcitriol	N
25	938205	938205	camphor	Drug	RxNorm	Ingredient	S	1952	1970-01-01	2099-12-31		1952	ENG	8620356	DB01744	DRUGBANK	IN	DB01744	Camphor	N
26	939881	939881	capsaicin	Drug	RxNorm	Ingredient	S	1992	1970-01-01	2099-12-31		1992	ENG	8293662	DB06774	DRUGBANK	IN	DB06774	Capsaicin	N
27	1340128	1340128	captopril	Drug	RxNorm	Ingredient	S	1998	1970-01-01	2099-12-31		1998	ENG	8625263	DB01197	DRUGBANK	IN	DB01197	Captopril	N
28	1769535	1769535	cefadroxil	Drug	RxNorm	Ingredient	S	2177	1970-01-01	2099-12-31		2177	ENG	8499664	DB01140	DRUGBANK	IN	DB01140	Cefadroxil	N
29	1776684	1776684	ceftazidime	Drug	RxNorm	Ingredient	S	2191	1970-01-01	2099-12-31		2191	ENG	8558189	DB00438	DRUGBANK	IN	DB00438	Ceftazidime	N
30	19092283	19092283	chlormethiazole	Drug	RxNorm	Ingredient	S	2372	1970-01-01	2099-12-31		2372	ENG	10779031	DB06470	DRUGBANK	IN	DB06470	Clomethiazole	N
31	19095028	19095028	chlorquinaldol	Drug	RxNorm	Ingredient	S	2407	1970-01-01	2099-12-31		2407	ENG	10825419	DB13306	DRUGBANK	IN	DB13306	Chlorquinaldol	N
32	1195334	1195334	choline	Drug	RxNorm	Ingredient	S	2449	1970-01-01	2099-12-31		2449	ENG	8511972	DB00122	DRUGBANK	IN	DB00122	Choline	N
33	19097481	19097481	cinnarizine	Drug	RxNorm	Ingredient	S	2549	1970-01-01	2099-12-31		2549	ENG	8642371	DB00568	DRUGBANK	IN	DB00568	Cinnarizine	N
34	997496	997496	cinoxacin	Drug	RxNorm	Ingredient	S	2550	1970-01-01	2099-12-31		2550	ENG	8326389	DB00827	DRUGBANK	IN	DB00827	Cinoxacin	N
35	998415	998415	clobetasol	Drug	RxNorm	Ingredient	S	2590	1970-01-01	2099-12-31		2590	ENG	9245091	DB11750	DRUGBANK	IN	DB11750	Clobetasol	N
36	1000995	1000995	coal tar	Drug	RxNorm	Ingredient	S	2635	1970-01-01	2099-12-31		2635	ENG	8709027	DB11082	DRUGBANK	IN	DB11082	Coal tar	N
37	19101604	19101604	cod liver oil	Drug	RxNorm	Ingredient	S	2669	1970-01-01	2099-12-31		2669	ENG	9273280	DB11321	DRUGBANK	IN	DB11321	Cod liver oil	N
38	909358	909358	cyclizine	Drug	RxNorm	Ingredient	S	2977	1970-01-01	2099-12-31		2977	ENG	8369860	DB01176	DRUGBANK	IN	DB01176	Cyclizine	N
39	711714	711714	dantrolene	Drug	RxNorm	Ingredient	S	3105	1970-01-01	2099-12-31		3105	ENG	8405107	DB01219	DRUGBANK	IN	DB01219	Dantrolene	N
40	1517070	1517070	desmopressin	Drug	RxNorm	Ingredient	S	3251	1970-01-01	2099-12-31		3251	ENG	8542787	DB00035	DRUGBANK	IN	DB00035	Desmopressin	N
41	19021940	19021940	dextromoramide	Drug	RxNorm	Ingredient	S	3290	1970-01-01	2099-12-31		3290	ENG	8715549	DB01529	DRUGBANK	IN	DB01529	Dextromoramide	N
42	1724869	1724869	didanosine	Drug	RxNorm	Ingredient	S	3364	1970-01-01	2099-12-31		3364	ENG	8504228	DB00900	DRUGBANK	IN	DB00900	Didanosine	N
43	930916	930916	diphenoxylate	Drug	RxNorm	Ingredient	S	3500	1970-01-01	2099-12-31		3500	ENG	8301369	DB01081	DRUGBANK	IN	DB01081	Diphenoxylate	N
44	1335606	1335606	disopyramide	Drug	RxNorm	Ingredient	S	3541	1970-01-01	2099-12-31		3541	ENG	8437254	DB00280	DRUGBANK	IN	DB00280	Disopyramide	N
45	1143374	1143374	ephedrine	Drug	RxNorm	Ingredient	S	3966	1970-01-01	2099-12-31		3966	ENG	8435589	DB01364	DRUGBANK	IN	DB01364	Ephedrine	N
46	1548195	1548195	estradiol	Drug	RxNorm	Ingredient	S	4083	1970-01-01	2099-12-31		4083	ENG	8617171	DB00783	DRUGBANK	IN	DB00783	Estradiol	N
47	1549254	1549254	estrone	Drug	RxNorm	Ingredient	S	4103	1970-01-01	2099-12-31		4103	ENG	8639501	DB00655	DRUGBANK	IN	DB00655	Estrone	N
48	1749301	1749301	ethambutol	Drug	RxNorm	Ingredient	S	4110	1970-01-01	2099-12-31		4110	ENG	8436365	DB00330	DRUGBANK	IN	DB00330	Ethambutol	N
49	953076	953076	famotidine	Drug	RxNorm	Ingredient	S	4278	1970-01-01	2099-12-31		4278	ENG	8267860	DB00927	DRUGBANK	IN	DB00927	Famotidine	N
50	1154029	1154029	fentanyl	Drug	RxNorm	Ingredient	S	4337	1970-01-01	2099-12-31		4337	ENG	8300780	DB00813	DRUGBANK	IN	DB00813	Fentanyl	N
51	1555120	1555120	fludrocortisone	Drug	RxNorm	Ingredient	S	4452	1970-01-01	2099-12-31		4452	ENG	8524096	DB00687	DRUGBANK	IN	DB00687	Fludrocortisone	N
52	19055156	19055156	flumethasone	Drug	RxNorm	Ingredient	S	4458	1970-01-01	2099-12-31		4458	ENG	8429632	DB00663	DRUGBANK	IN	DB00663	Flumethasone	N
53	955252	955252	fluocinonide	Drug	RxNorm	Ingredient	S	4462	1970-01-01	2099-12-31		4462	ENG	8406390	DB01047	DRUGBANK	IN	DB01047	Fluocinonide	N
54	755695	755695	fluoxetine	Drug	RxNorm	Ingredient	S	4493	1970-01-01	2099-12-31		4493	ENG	8331278	DB00472	DRUGBANK	IN	DB00472	Fluoxetine	N
55	1356461	1356461	flutamide	Drug	RxNorm	Ingredient	S	4508	1970-01-01	2099-12-31		4508	ENG	8639396	DB00499	DRUGBANK	IN	DB00499	Flutamide	N
56	956874	956874	furosemide	Drug	RxNorm	Ingredient	S	4603	1970-01-01	2099-12-31		4603	ENG	8322060	DB00695	DRUGBANK	IN	DB00695	Furosemide	N
57	19059796	19059796	gliclazide	Drug	RxNorm	Ingredient	S	4816	1970-01-01	2099-12-31		4816	ENG	8461944	DB01120	DRUGBANK	IN	DB01120	Gliclazide	N
58	19060985	19060985	glutamine	Drug	RxNorm	Ingredient	S	4885	1970-01-01	2099-12-31		4885	ENG	8576912	DB00130	DRUGBANK	IN	DB00130	L-Glutamine	N
59	962398	962398	glycine	Drug	RxNorm	Ingredient	S	4919	1970-01-01	2099-12-31		4919	ENG	8397204	DB00145	DRUGBANK	IN	DB00145	Glycine	N
60	19068839	19068839	hexetidine	Drug	RxNorm	Ingredient	S	5301	1970-01-01	2099-12-31		5301	ENG	8547045	DB08958	DRUGBANK	IN	DB08958	Hexetidine	N
61	969004	969004	hexylresorcinol	Drug	RxNorm	Ingredient	S	5321	1970-01-01	2099-12-31		5321	ENG	9273247	DB11254	DRUGBANK	IN	DB11254	Hexylresorcinol	N
62	1177480	1177480	ibuprofen	Drug	RxNorm	Ingredient	S	5640	1970-01-01	2099-12-31		5640	ENG	8574087	DB01050	DRUGBANK	IN	DB01050	Ibuprofen	N
63	1383815	1383815	isosorbide	Drug	RxNorm	Ingredient	S	6057	1970-01-01	2099-12-31		6057	ENG	9718829	DB09401	DRUGBANK	IN	DB09401	Isosorbide	N
64	1383925	1383925	isosorbide dinitrate	Drug	RxNorm	Ingredient	S	6058	1970-01-01	2099-12-31		6058	ENG	10334065	DB00883	DRUGBANK	IN	DB00883	Isosorbide dinitrate	N
65	986117	986117	ketotifen	Drug	RxNorm	Ingredient	S	6146	1970-01-01	2099-12-31		6146	ENG	8472821	DB00920	DRUGBANK	IN	DB00920	Ketotifen	N
66	19087208	19087208	lactose	Drug	RxNorm	Ingredient	S	6211	1970-01-01	2099-12-31		6211	ENG	8653790	DB04465	DRUGBANK	IN	DB04465	Lactose	N
67	987245	987245	lactulose	Drug	RxNorm	Ingredient	S	6218	1970-01-01	2099-12-31		6218	ENG	8301380	DB00581	DRUGBANK	IN	DB00581	Lactulose	N
68	19087317	19087317	lanolin	Drug	RxNorm	Ingredient	S	6227	1970-01-01	2099-12-31		6227	ENG	9273193	DB11112	DRUGBANK	IN	DB11112	Lanolin	N
69	994341	994341	meclizine	Drug	RxNorm	Ingredient	S	6676	1970-01-01	2099-12-31		6676	ENG	8482793	DB00737	DRUGBANK	IN	DB00737	Meclizine	N
70	19000498	19000498	mefloquine	Drug	RxNorm	Ingredient	S	6694	1970-01-01	2099-12-31		6694	ENG	8542013	DB00358	DRUGBANK	IN	DB00358	Mefloquine	N
71	1301267	1301267	melphalan	Drug	RxNorm	Ingredient	S	6718	1970-01-01	2099-12-31		6718	ENG	8465724	DB01042	DRUGBANK	IN	DB01042	Melphalan	N
72	1102527	1102527	meperidine	Drug	RxNorm	Ingredient	S	6754	1970-01-01	2099-12-31		6754	ENG	10768509	DB00454	DRUGBANK	IN	DB00454	Meperidine	N
73	1103640	1103640	methadone	Drug	RxNorm	Ingredient	S	6813	1970-01-01	2099-12-31		6813	ENG	8437495	DB00333	DRUGBANK	IN	DB00333	Methadone	N
74	904356	904356	methenamine	Drug	RxNorm	Ingredient	S	6832	1970-01-01	2099-12-31		6832	ENG	9244864	DB06799	DRUGBANK	IN	DB06799	Methenamine	N
75	19004724	19004724	methionine	Drug	RxNorm	Ingredient	S	6837	1970-01-01	2099-12-31		6837	ENG	9718269	DB00134	DRUGBANK	IN	DB00134	Methionine	N
76	907013	907013	metolazone	Drug	RxNorm	Ingredient	S	6916	1970-01-01	2099-12-31		6916	ENG	8290409	DB00524	DRUGBANK	IN	DB00524	Metolazone	N
77	1307046	1307046	metoprolol	Drug	RxNorm	Ingredient	S	6918	1970-01-01	2099-12-31		6918	ENG	8449842	DB00264	DRUGBANK	IN	DB00264	Metoprolol	N
78	907879	907879	miconazole	Drug	RxNorm	Ingredient	S	6932	1970-01-01	2099-12-31		6932	ENG	8342909	DB01110	DRUGBANK	IN	DB01110	Miconazole	N
79	708298	708298	midazolam	Drug	RxNorm	Ingredient	S	6960	1970-01-01	2099-12-31		6960	ENG	8520663	DB00683	DRUGBANK	IN	DB00683	Midazolam	N
80	1708880	1708880	minocycline	Drug	RxNorm	Ingredient	S	6980	1970-01-01	2099-12-31		6980	ENG	8312224	DB01017	DRUGBANK	IN	DB01017	Minocycline	N
81	915392	915392	natamycin	Drug	RxNorm	Ingredient	S	7268	1970-01-01	2099-12-31		7268	ENG	8533236	DB00826	DRUGBANK	IN	DB00826	Natamycin	N
82	19018416	19018416	niclosamide	Drug	RxNorm	Ingredient	S	7402	1970-01-01	2099-12-31		7402	ENG	8540832	DB06803	DRUGBANK	IN	DB06803	Niclosamide	N
83	19019176	19019176	nimorazole	Drug	RxNorm	Ingredient	S	7427	1970-01-01	2099-12-31		7427	ENG	9245542	DB12172	DRUGBANK	IN	DB12172	Nimorazole	N
84	1319880	1319880	nisoldipine	Drug	RxNorm	Ingredient	S	7435	1970-01-01	2099-12-31		7435	ENG	8420478	DB00401	DRUGBANK	IN	DB00401	Nisoldipine	N
85	721724	721724	nortriptyline	Drug	RxNorm	Ingredient	S	7531	1970-01-01	2099-12-31		7531	ENG	8563037	DB00540	DRUGBANK	IN	DB00540	Nortriptyline	N
86	19025925	19025925	oxyphenbutazone	Drug	RxNorm	Ingredient	S	7816	1970-01-01	2099-12-31		7816	ENG	8715786	DB03585	DRUGBANK	IN	DB03585	Oxyphenbutazone	N
87	1326901	1326901	papaverine	Drug	RxNorm	Ingredient	S	7895	1970-01-01	2099-12-31		7895	ENG	8276194	DB01113	DRUGBANK	IN	DB01113	Papaverine	N
88	733896	733896	phenelzine	Drug	RxNorm	Ingredient	S	8123	1970-01-01	2099-12-31		8123	ENG	8529117	DB00780	DRUGBANK	IN	DB00780	Phenelzine	N
89	735340	735340	phentermine	Drug	RxNorm	Ingredient	S	8152	1970-01-01	2099-12-31		8152	ENG	8650018	DB00191	DRUGBANK	IN	DB00191	Phentermine	N
90	19035577	19035577	phenylalanine	Drug	RxNorm	Ingredient	S	8156	1970-01-01	2099-12-31		8156	ENG	11812472	DB00120	DRUGBANK	IN	DB00120	Phenylalanine	N
91	1135710	1135710	phenylbutazone	Drug	RxNorm	Ingredient	S	8160	1970-01-01	2099-12-31		8160	ENG	8407583	DB00812	DRUGBANK	IN	DB00812	Phenylbutazone	N
92	1135766	1135766	phenylephrine	Drug	RxNorm	Ingredient	S	8163	1970-01-01	2099-12-31		8163	ENG	8459519	DB00388	DRUGBANK	IN	DB00388	Phenylephrine	N
93	945286	945286	pilocarpine	Drug	RxNorm	Ingredient	S	8328	1970-01-01	2099-12-31		8328	ENG	8644840	DB01085	DRUGBANK	IN	DB01085	Pilocarpine	N
94	1345858	1345858	pindolol	Drug	RxNorm	Ingredient	S	8332	1970-01-01	2099-12-31		8332	ENG	8581446	DB00960	DRUGBANK	IN	DB00960	Pindolol	N
95	1146810	1146810	piroxicam	Drug	RxNorm	Ingredient	S	8356	1970-01-01	2099-12-31		8356	ENG	8515337	DB00554	DRUGBANK	IN	DB00554	Piroxicam	N
96	19047071	19047071	pivampicillin	Drug	RxNorm	Ingredient	S	8372	1970-01-01	2099-12-31		8372	ENG	8676035	DB01604	DRUGBANK	IN	DB01604	Pivampicillin	N
97	19047076	19047076	pizotyline	Drug	RxNorm	Ingredient	S	8373	1970-01-01	2099-12-31		8373	ENG	9274907	DB06153	DRUGBANK	IN	DB06153	Pizotifen	N
98	19049024	19049024	potassium	Drug	RxNorm	Ingredient	S	8588	1970-01-01	2099-12-31		8588	ENG	10289171	DB14500	DRUGBANK	IN	DB14500	Potassium	N
99	19135788	19135788	potassium permanganate	Drug	RxNorm	Ingredient	S	8604	1970-01-01	2099-12-31		8604	ENG	9718976	DB13831	DRUGBANK	IN	DB13831	Potassium permanganate	N
100	1750087	1750087	povidone-iodine	Drug	RxNorm	Ingredient	S	8611	1970-01-01	2099-12-31		8611	ENG	8663796	DB06812	DRUGBANK	IN	DB06812	Povidone-iodine	N
101	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	8673533	DB00860	DRUGBANK	IN	DB00860	Prednisolone	N
102	951279	951279	prilocaine	Drug	RxNorm	Ingredient	S	8686	1970-01-01	2099-12-31		8686	ENG	8411006	DB00750	DRUGBANK	IN	DB00750	Prilocaine	N
103	19052317	19052317	proflavine	Drug	RxNorm	Ingredient	S	8723	1970-01-01	2099-12-31		8723	ENG	8306985	DB01123	DRUGBANK	IN	DB01123	Proflavine	N
104	953391	953391	propantheline	Drug	RxNorm	Ingredient	S	8761	1970-01-01	2099-12-31		8761	ENG	8310732	DB00782	DRUGBANK	IN	DB00782	Propantheline	N
105	1153664	1153664	propoxyphene	Drug	RxNorm	Ingredient	S	8785	1970-01-01	2099-12-31		8785	ENG	8480835	DB00647	DRUGBANK	IN	DB00647	Dextropropoxyphene	N
106	1554072	1554072	propylthiouracil	Drug	RxNorm	Ingredient	S	8794	1970-01-01	2099-12-31		8794	ENG	8575553	DB00550	DRUGBANK	IN	DB00550	Propylthiouracil	N
107	1154332	1154332	pseudoephedrine	Drug	RxNorm	Ingredient	S	8896	1970-01-01	2099-12-31		8896	ENG	8642312	DB00852	DRUGBANK	IN	DB00852	Pseudoephedrine	N
