	drug_concept_id	concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason	_c0	_c1	_c7	_c8	_c9	_c11	_c12	_c13	_c14	_c16	_c17
0	1319998	1319998	acebutolol	Drug	RxNorm	Ingredient	S	149	1970-01-01	2099-12-31		149	ENG	12253229	12253229	149	RXNORM	IN	149	acebutolol	N	4096.0
1	19024063	19024063	acenocoumarol	Drug	RxNorm	Ingredient	S	154	1970-01-01	2099-12-31		154	ENG	12254380	12254380	154	RXNORM	IN	154	acenocoumarol	N	
2	929435	929435	acetazolamide	Drug	RxNorm	Ingredient	S	167	1970-01-01	2099-12-31		167	ENG	12253835	12253835	167	RXNORM	IN	167	acetazolamide	N	4096.0
3	929549	929549	acetic acid	Drug	RxNorm	Ingredient	S	168	1970-01-01	2099-12-31		168	ENG	12250948	12250948	168	RXNORM	IN	168	acetic acid	N	4096.0
4	1701928	1701928	activated charcoal	Drug	RxNorm	Ingredient	S	272	1970-01-01	2099-12-31		272	ENG	12251527	12251527	272	RXNORM	IN	272	activated charcoal	N	4096.0
5	1541079	1541079	corticotropin	Drug	RxNorm	Ingredient	S	376	1970-01-01	2099-12-31		376	ENG	12253837	12253837	376	RXNORM	IN	376	corticotropin	N	4096.0
6	1154343	1154343	albuterol	Drug	RxNorm	Ingredient	S	435	1970-01-01	2099-12-31		435	ENG	12253235	12253235	435	RXNORM	IN	435	albuterol	N	4096.0
7	955372	955372	ethanol	Drug	RxNorm	Ingredient	S	448	1970-01-01	2099-12-31		448	ENG	12253236	12253236	448	RXNORM	IN	448	ethanol	N	4096.0
8	1169352	1169352	alpha 1-antitrypsin	Drug	RxNorm	Ingredient	S	535	1970-01-01	2099-12-31		535	ENG	12250427	12250427	535	RXNORM	IN	535	alpha 1-antitrypsin	N	4096.0
9	781039	781039	alprazolam	Drug	RxNorm	Ingredient	S	596	1970-01-01	2099-12-31		596	ENG	12251530	12251530	596	RXNORM	IN	596	alprazolam	N	4096.0
10	985247	985247	aluminum hydroxide	Drug	RxNorm	Ingredient	S	612	1970-01-01	2099-12-31		612	ENG	12250958	12250958	612	RXNORM	IN	612	aluminum hydroxide	N	4096.0
11	19123348	19123348	aluminum oxide	Drug	RxNorm	Ingredient	S	615	1970-01-01	2099-12-31		615	ENG	12253838	12253838	615	RXNORM	IN	615	aluminum oxide	N	4096.0
12	19088223	19088223	amdinocillin pivoxil	Drug	RxNorm	Ingredient	S	627	1970-01-01	2099-12-31		627	ENG	12250959	12250959	627	RXNORM	IN	627	amdinocillin pivoxil	N	
13	1309944	1309944	amiodarone	Drug	RxNorm	Ingredient	S	703	1970-01-01	2099-12-31		703	ENG	12250428	12250428	703	RXNORM	IN	703	amiodarone	N	4096.0
14	712757	712757	amobarbital	Drug	RxNorm	Ingredient	S	719	1970-01-01	2099-12-31		719	ENG	12252676	12252676	719	RXNORM	IN	719	amobarbital	N	4096.0
15	952538	952538	anthralin	Drug	RxNorm	Ingredient	S	873	1970-01-01	2099-12-31		873	ENG	12252060	12252060	873	RXNORM	IN	873	anthralin	N	4096.0
16	1314865	1314865	azacitidine	Drug	RxNorm	Ingredient	S	1251	1970-01-01	2099-12-31		1251	ENG	12253845	12253845	1251	RXNORM	IN	1251	azacitidine	N	4096.0
17	1316354	1316354	bendroflumethiazide	Drug	RxNorm	Ingredient	S	1369	1970-01-01	2099-12-31		1369	ENG	12253249	12253249	1369	RXNORM	IN	1369	bendroflumethiazide	N	4096.0
18	19020124	19020124	betahistine	Drug	RxNorm	Ingredient	S	1511	1970-01-01	2099-12-31		1511	ENG	12250967	12250967	1511	RXNORM	IN	1511	betahistine	N	
19	19022956	19022956	bezafibrate	Drug	RxNorm	Ingredient	S	1525	1970-01-01	2099-12-31		1525	ENG	12252068	12252068	1525	RXNORM	IN	1525	bezafibrate	N	4096.0
20	724908	724908	biperiden	Drug	RxNorm	Ingredient	S	1589	1970-01-01	2099-12-31		1589	ENG	12252070	12252070	1589	RXNORM	IN	1589	biperiden	N	
21	929698	929698	boric acid	Drug	RxNorm	Ingredient	S	1700	1970-01-01	2099-12-31		1700	ENG	52489	52489	1700	RXNORM	IN	1700	boric acid	N	4096.0
22	932815	932815	levobunolol	Drug	RxNorm	Ingredient	S	1813	1970-01-01	2099-12-31		1813	ENG	12252685	12252685	1813	RXNORM	IN	1813	levobunolol	N	4096.0
23	732893	732893	bupivacaine	Drug	RxNorm	Ingredient	S	1815	1970-01-01	2099-12-31		1815	ENG	12250970	12250970	1815	RXNORM	IN	1815	bupivacaine	N	4096.0
24	1134439	1134439	caffeine	Drug	RxNorm	Ingredient	S	1886	1970-01-01	2099-12-31		1886	ENG	12252074	12252074	1886	RXNORM	IN	1886	caffeine	N	4096.0
25	19035631	19035631	calcitriol	Drug	RxNorm	Ingredient	S	1894	1970-01-01	2099-12-31		1894	ENG	12254404	12254404	1894	RXNORM	IN	1894	calcitriol	N	4096.0
26	938205	938205	camphor	Drug	RxNorm	Ingredient	S	1952	1970-01-01	2099-12-31		1952	ENG	12254407	12254407	1952	RXNORM	IN	1952	camphor	N	4096.0
27	939881	939881	capsaicin	Drug	RxNorm	Ingredient	S	1992	1970-01-01	2099-12-31		1992	ENG	12253261	12253261	1992	RXNORM	IN	1992	capsaicin	N	4096.0
28	1340128	1340128	captopril	Drug	RxNorm	Ingredient	S	1998	1970-01-01	2099-12-31		1998	ENG	12250973	12250973	1998	RXNORM	IN	1998	captopril	N	4096.0
29	1769535	1769535	cefadroxil	Drug	RxNorm	Ingredient	S	2177	1970-01-01	2099-12-31		2177	ENG	12254414	12254414	2177	RXNORM	IN	2177	cefadroxil	N	4096.0
30	1776684	1776684	ceftazidime	Drug	RxNorm	Ingredient	S	2191	1970-01-01	2099-12-31		2191	ENG	12250442	12250442	2191	RXNORM	IN	2191	ceftazidime	N	4096.0
31	19092283	19092283	chlormethiazole	Drug	RxNorm	Ingredient	S	2372	1970-01-01	2099-12-31		2372	ENG	12250447	12250447	2372	RXNORM	IN	2372	chlormethiazole	N	
32	19095028	19095028	chlorquinaldol	Drug	RxNorm	Ingredient	S	2407	1970-01-01	2099-12-31		2407	ENG	12250448	12250448	2407	RXNORM	IN	2407	chlorquinaldol	N	
