drug_concept_id,unique_people_count
1713332,141912
1125315,116112
975125,108940
1201620,102314
1124300,95165
1177480,93572
19054936,89222
923645,82127
920458,71320
1705674,67857
1115008,66203
929887,62879
1539403,62098
19010400,61557
35200165,61139
1115572,60639
1000632,57668
529411,57031
990069,50617
1746940,50136
529303,49449
1154343,48761
1738521,48294
1759842,46277
907879,45607
710062,45504
1550557,45095
1112807,44602
523283,44540
523365,43913
523367,43913
989878,43733
915981,43591
1149196,42340
1545958,41968
1750500,40115
1729720,39941
36878782,39377
1360332,38633
1332418,36850
19005129,36685
1395573,36475
1548195,36396
1189596,36257
752061,36205
905233,34877
1707164,34263
1786621,33677
1334456,33445
922570,33428
1103314,33341
723013,33257
1518254,32401
1316354,31749
1149380,31273
908523,31098
1741309,30923
1521369,30543
19033354,30468
19035704,30455
925952,29658
19095164,29587
1797513,27896
920293,27228
1790812,26724
532881,26267
797617,25495
929549,25341
1107830,25169
19008994,24837
961047,23903
964407,23804
987245,23209
19129738,22835
1703687,22764
1506270,22488
1314002,22390
986417,22340
939506,21883
19044883,21741
755695,21655
1361711,21381
44814322,21242
19011773,20735
1396131,20020
19018544,20004
923840,19630
1754994,19359
19049024,19315
1338005,18910
1549080,18837
45775351,18681
19136048,18672
1501700,18394
916460,17886
1146810,17736
1353766,17717
1153664,16642
1316262,16161
40798976,16035
19003568,15946
906780,15749
991876,15660
956874,15503
45892419,15395
19009405,15296
19111620,15111
1152631,15051
19020124,14774
998415,14743
911064,14684
797399,14497
1503297,14225
1308216,14109
902251,14087
1153428,14083
924566,13946
19030059,13901
1589505,13653
1360067,13601
903963,13236
19019620,13064
19049038,13023
739138,12903
19037833,12859
836715,12813
40234201,12759
1595799,12591
529660,12515
19137031,12450
19037706,12296
1192710,12032
43532069,11962
1557272,11924
980867,11913
19045290,11749
1549786,11577
1322184,11556
1343916,11541
19032619,11511
1717327,11425
1137529,11369
1367500,11220
922976,11202
19058343,11139
19027080,10835
985708,10815
967823,10814
19010696,10603
1760616,10423
1154332,10405
1521592,10310
42900448,10112
951511,10092
1308738,10066
19011028,10053
42898572,9778
19037989,9629
19024213,9616
1500211,9508
19055156,9459
1197736,9339
1310149,9263
937725,9257
19115055,9203
718583,9191
1768849,9152
1150871,8855
19086712,8784
19036946,8702
1792429,8674
1363053,8664
19087317,8535
722031,8392
1303425,8262
916005,8241
1353228,8174
939259,8165
918906,8017
1000995,7901
997276,7867
1336926,7819
1786842,7816
43531973,7786
19049105,7722
725131,7671
1551860,7645
1140643,7593
19029278,7417
1103006,7251
1110410,7217
734354,7111
1118084,7100
963742,7074
904453,7059
1351557,6978
1185922,6858
1398937,6826
1703653,6764
741530,6739
43012316,6729
908921,6725
19059796,6696
948582,6678
19097481,6676
1167322,6670
36879164,6632
909358,6595
913782,6557
1781733,6495
906914,6380
19124906,6353
1150345,6342
1373225,6300
19009540,6255
528323,6182
42903865,6179
941258,6126
943852,6014
1178663,5945
1383815,5943
1318853,5859
743670,5821
950435,5817
1150836,5784
1353776,5706
530007,5618
777221,5468
978555,5438
1189754,5390
1377023,5296
19040060,5252
19025274,5243
1510813,5175
939881,5170
996416,5161
19015602,5154
949279,5041
1101554,5039
966282,5021
19041933,4909
1328165,4884
1588000,4870
985247,4842
969276,4820
1106776,4817
997881,4815
19041843,4702
1526475,4677
19056694,4627
19137312,4536
922868,4497
948078,4472
954688,4448
19033278,4437
955632,4422
19092412,4407
19008339,4394
19005046,4388
19030751,4372
1112921,4339
961145,4292
740275,4230
1196677,4210
43013872,4191
19011355,4150
780442,4085
19113045,4065
19047076,3994
19086939,3946
19091830,3865
19018419,3854
924724,3828
19092353,3816
19062817,3809
911735,3799
916662,3779
1341927,3669
1560524,3662
996541,3602
1154161,3599
902427,3587
19000498,3531
19055217,3475
1133201,3469
1436678,3451
1347384,3382
924939,3353
1114620,3345
19100761,3295
703547,3217
19101454,3130
942028,3113
787787,3102
711452,3101
715939,3100
1153013,3045
744740,2967
715259,2959
930021,2933
1305058,2875
19015802,2851
948515,2771
938268,2764
19014977,2755
991382,2675
970250,2669
914335,2590
923081,2556
1308842,2528
968426,2464
1794280,2455
1580747,2445
908730,2441
1708880,2438
904525,2429
1703603,2413
1836948,2408
934075,2401
993979,2389
974166,2378
1734104,2349
1516800,2343
721724,2323
930916,2311
977968,2291
750982,2277
1195492,2265
1124957,2224
19061821,2217
1326303,2204
704943,2201
1136422,2193
948856,2180
42898952,2178
509081,2142
964339,2110
19011034,2095
1777087,2079
992956,2073
509079,2067
1311276,2053
1836430,1993
42800027,1962
19081195,1958
19055757,1949
19055496,1949
1116031,1945
1717240,1938
1301025,1932
19084696,1915
945913,1908
901656,1906
965748,1904
19117912,1901
1567198,1898
791967,1894
19040606,1886
1036525,1870
745466,1861
1331270,1860
1595461,1857
1396012,1803
1309944,1798
1525215,1795
40241331,1792
715233,1769
958999,1763
1348265,1757
1118117,1753
1154077,1753
908464,1707
938044,1700
1154029,1684
940864,1667
1307863,1656
1307046,1649
1502905,1609
979096,1598
966956,1577
993631,1570
19093848,1541
19097684,1533
938061,1532
991825,1528
1769535,1523
1596977,1520
918172,1496
1236744,1493
19070224,1492
46221581,1490
1515774,1479
19022956,1478
1315946,1470
532274,1470
1143374,1468
19052638,1467
19056872,1460
1319156,1448
927478,1447
919681,1447
917006,1443
989482,1434
19045045,1431
915175,1419
1792515,1409
739363,1388
19014878,1386
923540,1382
19020021,1367
1636780,1346
1123995,1323
42873636,1312
992409,1308
1370109,1307
950637,1303
966376,1300
1721543,1287
1113648,1281
778268,1278
950696,1274
43013024,1248
902616,1247
904501,1234
19127890,1233
1395058,1227
708298,1219
1547504,1209
932745,1204
1354860,1199
46234461,1197
1551803,1179
46234308,1178
956266,1166
929435,1157
789578,1144
19055982,1142
981709,1140
798874,1136
1366310,1097
742267,1094
766529,1081
986790,1069
19095309,1051
951237,1049
1778162,1039
19086560,1020
990678,1018
915542,1012
1704758,1007
785788,997
963858,986
713823,982
1750087,980
1000560,976
705103,971
929128,966
766814,939
1301065,939
932196,939
1140123,937
1164108,932
798834,929
19026739,922
1136980,919
46275993,918
1742253,908
19037401,904
19088223,902
969444,899
42900366,898
981691,897
909440,897
1511449,889
1549686,880
1237049,874
1381504,862
1597756,857
45775584,842
19008867,838
19005147,835
19010792,833
711584,824
1550023,821
19027958,812
514012,799
19024770,799
514015,799
19003010,796
19086100,790
751246,788
19037891,786
1351541,780
42900339,778
735979,777
740560,772
733301,771
40241186,767
1344381,766
35884338,766
1314577,761
967496,757
720810,754
35741950,752
1512480,747
740910,745
19049350,744
19007748,742
19007721,742
19022417,738
915855,737
1763779,735
794852,735
976545,732
957393,727
19014202,727
1780601,726
19016670,724
951279,722
19087063,722
19009896,718
1394027,718
19071128,718
19043395,716
700299,714
1156378,705
40226742,694
1513103,692
19004539,689
19016467,686
910232,684
1135766,681
19026096,678
1516976,676
523202,672
19042445,671
1717704,669
715997,663
19031041,656
43532539,647
19016463,647
738156,638
19055344,634
1552929,631
19058896,630
40239216,629
1195334,626
1196514,626
1308473,613
1799139,612
19011021,610
40170911,609
42899937,607
955583,605
704984,602
732893,596
1301152,591
1134439,576
724816,570
1796435,565
925102,565
19007977,565
1180412,562
19035631,560
903643,559
19011035,554
981774,549
19024636,543
1317640,541
952538,535
1398399,530
19135788,528
948487,523
44785829,515
19084915,511
1036228,507
962398,507
1340128,506
931973,504
990760,504
919204,504
915935,503
940541,501
1531601,499
902722,497
19010955,496
19000537,496
1130863,491
19000815,489
1105775,479
1346823,477
1036252,477
1036487,473
944360,472
752276,468
19014035,463
19029393,458
1352890,458
1552310,454
1560278,450
1549254,438
19010309,437
953391,432
