drug_concept_id,times_taken
1112807,927199
1125315,712882
1713332,555088
1201620,406766
1115572,378066
1501700,365952
1154343,361312
1548195,340392
975125,334357
1539403,333229
923645,308227
1124300,295240
1177480,285382
929887,278990
710062,242338
1314002,241296
920458,223051
1149380,188009
1521369,187612
1338005,181953
1545958,178809
19054936,178229
19035704,174094
1705674,173894
19095164,167316
1550557,153253
1549080,150184
1316354,145402
1115008,143524
1000632,132261
1137529,118323
1149196,117110
1503297,117043
1746940,116073
905233,115011
1189596,114773
35200165,112896
1103314,112059
1332418,110252
19010400,110011
1316262,106331
19033354,104109
908523,102302
1308216,101380
915981,100514
1738521,100268
1361711,93700
1549786,90478
907879,89941
1353766,89328
723013,87684
1334456,86576
1310149,84034
990069,83078
1759842,82454
797617,82417
1167322,82127
1521592,81291
989878,80397
1760616,79681
19129738,78997
925952,78516
1360332,76332
752061,76281
19005129,75649
1786621,74264
1518254,73394
1589505,72924
1729720,70710
1750500,70340
961047,70336
1107830,69057
755695,68477
1140643,67762
36878782,67635
1395573,67509
19008994,67399
19044883,66132
922570,65112
529411,64141
1377023,63353
1707164,63226
920293,62159
986417,60696
929549,58039
956874,57914
1500211,57756
1790812,57348
964407,56265
987245,54392
1153664,54288
991876,54132
19049024,53207
529303,52625
1703687,52211
1741309,51969
902251,51217
939259,50938
1336926,50668
19037989,50619
45775351,50443
19136048,50433
19003568,49859
1797513,49824
939506,48637
797399,48266
1363053,47665
1152631,46571
523283,46481
916460,46372
523365,45577
523367,45577
1367500,44021
836715,42614
923840,42562
19137031,42368
1557272,41879
19030059,41248
1506270,40850
19018544,40074
19049038,39761
1754994,39573
924566,39399
532881,39161
998415,38631
42898572,37433
19011773,36966
1396131,36654
1351557,36421
908921,36385
1153428,34917
1146810,34479
1000995,34408
1551860,33989
19111620,33883
1373225,33789
906780,33162
43532069,32664
740275,32358
954688,32240
19027080,32164
19020124,31903
19087317,30449
19058343,30011
722031,29683
918906,29459
1341927,29179
44814322,29112
19037833,29020
1318853,28811
985708,28710
903963,27984
739138,27945
1588000,27570
902427,26713
996416,26518
1106776,26182
40234201,26155
19009405,26020
45892419,25898
911064,25170
1322184,25168
40798976,25101
974166,25051
19040060,25034
904453,24258
1353776,24131
1567198,24021
19032619,23216
43531973,23026
1510813,22825
19115055,22630
19011028,22059
1197736,22023
1103006,21976
1192710,21769
1595799,21761
19086712,21724
1150871,21648
1383815,21509
1328165,21484
19041933,21472
949279,21410
997276,21401
1360067,21399
1343916,21161
19059796,21079
19037706,20939
978555,20816
1303425,20811
1308738,20787
1116031,20706
1502905,20636
967823,20633
980867,20383
1347384,20186
19045290,20070
743670,20059
734354,19862
19019620,19799
1118117,19580
19086939,19230
922976,18992
1112921,18985
1178663,18895
1150345,18670
725131,18476
991382,18294
718583,18067
1777087,17770
19010696,17566
913782,17454
745466,17291
916005,17203
1305058,17141
1398937,16935
19049105,16843
741530,16804
19014977,16748
968426,16728
529660,16545
906914,16456
948078,16435
19052638,16376
1118084,16339
1717327,16317
970250,16156
1526475,16146
19005046,16027
1154332,15718
19055156,15657
703547,15599
43013872,15534
1786842,15314
937725,15131
1596977,15082
1110410,14996
1196677,14953
19018419,14874
19062817,14770
1768849,14735
19137312,14641
1395058,14181
951511,14071
1307046,14050
19055217,14026
19024213,14000
777221,13890
1150836,13738
19036946,13693
19097481,13639
964339,13520
1308842,13494
904525,13334
19047076,13253
19029278,13045
911735,12773
985247,12648
43012316,12564
1185922,12526
42900448,12502
909358,12354
1101554,12297
19030751,12294
1353228,12135
1326303,12099
1792429,11972
19092353,11896
1708880,11876
46221581,11864
1154077,11579
1436678,11357
530007,11258
19124906,11151
1703653,11074
19041843,11009
1154161,10981
963742,10820
19009540,10693
941258,10607
798874,10469
744740,10370
1189754,10295
42903865,10275
19014878,10190
948582,10026
1550023,10006
19008339,9956
948856,9948
787787,9885
1595461,9688
966282,9607
1311276,9373
528323,9236
1636780,9229
997881,9219
939881,9070
19011355,9046
1114620,9023
924724,8947
19084696,8855
945913,8828
996541,8815
1781733,8744
950435,8742
19015602,8689
751246,8605
1307863,8518
19081195,8416
715233,8373
721724,8236
1370109,8198
943852,8196
1331270,7922
42898952,7837
798834,7785
715939,7751
740910,7691
19101454,7637
705103,7580
19091830,7578
1515774,7528
938044,7524
924939,7431
930021,7315
19022956,7304
1525215,7283
908730,7273
916662,7163
969276,7133
36879164,7012
1516800,6890
19097684,6835
1354860,6813
942028,6797
780442,6766
1133201,6746
19100761,6700
19015802,6692
938268,6677
904501,6591
1734104,6480
19040606,6455
1516976,6454
981709,6363
961145,6351
715259,6286
19014202,6282
1366310,6226
948515,6191
955632,6149
1580747,6138
19113045,6033
19056694,6011
1560524,6007
1236744,5999
19070224,5978
1552929,5969
19025274,5942
742267,5927
19127890,5927
791967,5925
789578,5840
934075,5809
19045045,5750
778268,5609
19020021,5604
19000498,5585
19016670,5554
19087063,5550
19055982,5451
711452,5443
19033278,5345
19092412,5330
1153013,5325
720810,5315
914335,5232
1036525,5219
922868,5099
979096,5003
1549686,4997
1136422,4944
1319156,4916
1124957,4887
989482,4748
1348265,4711
1836948,4677
713823,4675
930916,4668
19061821,4661
1551803,4601
1309944,4516
19004539,4443
766814,4429
704984,4421
992409,4407
1195492,4402
19095309,4347
752276,4280
19010792,4177
992956,4176
932745,4172
794852,4154
1134439,4087
1547504,4032
915542,4006
950637,3997
19016463,3968
785788,3947
1381504,3918
1549254,3910
1351541,3835
19037401,3811
40226742,3770
1340128,3765
1346823,3753
704943,3730
734275,3703
990678,3659
740560,3630
735979,3581
918172,3571
1145379,3562
1314577,3520
923081,3520
1113648,3511
1597756,3459
966376,3414
1836430,3405
977968,3403
1704758,3358
1140123,3342
711584,3342
991825,3325
19026739,3314
19058896,3290
1703603,3278
750982,3216
1103552,3202
950696,3201
1315946,3187
1154029,3127
19055496,3127
19055757,3127
969444,3097
19024770,3028
965748,3005
1396012,2994
1794280,2994
929128,2991
1301025,2986
1237049,2984
1531601,2971
908464,2956
938061,2886
1558471,2876
904542,2821
1513103,2811
1317640,2774
1196514,2760
901656,2735
993979,2734
931973,2731
990760,2731
919204,2731
1189458,2716
1512480,2694
1780601,2686
700299,2682
19009896,2678
1394027,2678
19071128,2678
19043395,2675
1769535,2640
986790,2624
993631,2616
19010482,2593
1717240,2556
724816,2514
919681,2510
934262,2477
940864,2468
1559684,2453
19084915,2448
19056872,2431
1505346,2417
19011034,2402
509081,2391
927478,2387
19008867,2376
739363,2332
705755,2329
19093848,2316
19011021,2315
1105775,2307
509079,2305
45775584,2287
19000815,2274
956266,2259
932815,2242
40241331,2231
19117912,2230
19086100,2224
19086560,2177
751347,2173
1721543,2142
19003010,2110
19026096,2110
1511449,2109
958999,2098
46234461,2066
917006,2048
19035631,2046
42873636,2044
738156,2020
766529,2013
1350489,1991
42800027,1973
915855,1959
1513849,1951
1517070,1947
19078808,1902
988095,1897
1513876,1896
42900366,1865
966956,1858
1143374,1855
1792515,1848
40170911,1842
19007977,1837
1156378,1835
1555120,1825
967496,1821
1750087,1817
1525278,1816
951237,1791
950370,1787
19014035,1781
733301,1779
1560278,1767
1123995,1758
929435,1751
19069076,1747
963858,1714
915175,1699
932196,1693
1717704,1691
19069022,1683
43013024,1666
1000560,1653
978236,1648
19037891,1636
19003999,1635
19007748,1625
1341238,1623
1346686,1600
1101898,1571
909440,1568
35741950,1564
1552310,1554
1309799,1545
1778162,1496
923540,1490
532274,1484
945286,1477
1352890,1476
1342439,1475
955583,1463
1343039,1462
944360,1450
1164108,1430
19087090,1424
1322081,1411
1363749,1406
1331235,1399
19136626,1389
952538,1385
19088223,1375
1136980,1372
903643,1369
902616,1361
1383925,1347
955252,1340
708298,1337
1583722,1322
19042550,1312
46234308,1306
19042445,1299
1742253,1294
981774,1287
19027958,1285
42899937,1266
981691,1259
1512674,1253
1301065,1251
19029393,1230
730548,1230
19050832,1205
1036228,1198
902938,1197
951279,1192
957393,1186
19055344,1184
19008361,1168
19010015,1165
1135766,1145
1763779,1142
710650,1124
948487,1116
19011035,1115
1344381,1107
910232,1103
1377141,1102
1300978,1094
19007721,1082
976545,1074
715997,1061
43532539,1040
19024636,1035
19001308,1035
19005147,1030
1398399,1026
19050375,1012
953391,1010
915935,1007
1386957,1000
732893,996
19049350,981
19136654,978
19041536,976
40241186,955
925102,945
782211,938
905371,928
46275993,922
40239216,911
1189697,888
35884338,888
19005570,883
514012,881
514015,881
705178,880
19084693,879
523202,877
1301152,874
1308473,874
759740,857
42900339,856
46234437,855
19077093,848
19043959,847
19056802,845
1318137,843
19086910,842
19024904,836
1195334,832
1511349,826
44785829,820
1796435,813
19044522,805
19057607,788
19022417,788
1150770,788
715710,787
757688,774
1529331,772
40166035,772
19049145,754
733008,751
954853,747
19016537,742
981654,741
19101604,740
1373928,740
19016467,731
756018,728
1180412,728
914244,721
929698,711
1592180,710
1130863,709
19053979,694
984232,691
42709325,686
724394,683
19002230,683
778474,682
1516766,680
19135788,677
1102527,673
1305447,663
1129625,662
19095028,661
19031041,661
916282,660
1337107,660
714684,651
1518148,649
1560305,643
720727,640
45775571,637
1103518,630
19029398,628
19052903,628
1436650,626
902722,625
36879028,622
1799139,621
40175900,617
938205,613
735850,613
42873639,612
1763204,610
837027,604
950933,602
962398,597
19042155,596
940541,595
19122137,592
19010309,590
19010955,587
19000537,587
953076,586
1139042,585
986117,582
19132886,579
1379525,576
40228152,575
1036252,571
1586346,568
1560171,566
1036487,565
19055492,561
19049228,550
19095043,548
19028050,546
44785907,544
948490,540
1502855,538
951469,532
1105889,530
1197677,528
990499,516
19095703,513
1711759,501
42899439,497
1152134,492
1309068,490
952004,487
966991,485
19056157,478
751412,472
1312007,471
1519936,470
1517824,467
786426,464
19076714,460
701322,457
1544838,448
19014215,444
43532371,442
733523,441
43560345,438
19041220,438
36878933,431
43526465,430
19009057,428
40163718,427
766209,427
42709320,425
1313200,425
1036690,420
1114220,415
1335606,410
40222444,409
19046291,407
1501617,407
1558242,404
905151,401
1103374,395
733896,393
966913,393
958134,392
1554072,390
1776430,388
1588712,387
43012315,376
917336,376
1702559,374
40684629,369
19100760,369
43012199,358
1331247,353
1350310,352
19068839,346
35603775,339
43012168,335
19024249,335
36878779,334
916230,333
43012259,330
989301,328
19018634,327
750119,326
1126128,326
19010886,324
19017742,320
711714,315
947705,313
926487,313
19010652,312
19001131,312
1111706,309
1598819,305
1353256,305
986864,303
702774,299
1510492,297
1319998,297
19056874,290
