drug_concept_id,concept_name
1169352,alpha 1-antitrypsin
19099181,clopamide
19072083,cyclofenil
1319156,dextran 70
1563600,chorionic gonadotropin
19113045,heparinoids
19124477,lithium
19000556,mefruside
1300978,megestrol
19003010,meptazinol
926487,pancreatin
19066274,selenite
19000815,strontium
19010128,vitamin K
1740226,cadexomer iodine
19089408,dibrompropamidine
19059630,ethyl linoleate
19009057,menadiol
19009145,mequitazine
19026134,poldine
19095275,potassium iodate
938268,"sennosides, USP"
19039877,sodium perborate
19100440,terodiline
19042550,triazulenone
543291,varicella-zoster immune globulin
944360,zinc pyrithione
1152134,aurothiomalate
19052936,edetate
19059482,cetalkonium chloride
19078126,sodium polystyrene sulfonate
19001305,diloxanide
711452,benzoate
19126536,oleate
19011034,citrate
19011035,lactate
19056300,compound benzoin tincture (USP)
19090802,calcium lactobionate
1197736,mefenamate
19007748,cetrimide
1513849,"lente insulin, human"
1531601,"insulin aspart protamine, human"
986790,azelate
19047598,"Japanese encephalitis virus vaccine, inactivated"
40241153,tolu balsam
42899916,Piscidia piscipula root bark extract
42899937,polyethylene glycol 4000
42899908,Pulsatilla patens extract
42900435,pentane
42903504,polyethylene glycol 3500
42904019,Iris versicolor root extract
43012252,carbomer-940
43012447,acetylated lanolin alcohols
43532356,glycogen
44506749,Japanese encephalitis virus
45775531,amaranth acid
35604680,tetanus immune globulin
1146220,Lactobacillus paracasei
1354698,mesna
19058354,aconite
19040563,carbenoxolone
790253,clorazepate
19010792,cyproterone
19035856,distigmine
19049350,ethamsylate
1352213,factor VIII
19077143,17-alpha-hydroxyprogesterone
19084915,karaya gum
1394027,manganese
19126896,muramidase
19132886,phenylethyl alcohol
19042345,lecithin
957797,psyllium
19135936,razoxane
1036525,sulfur
19010970,vitamin B complex
19037706,bismuth oxide
19095729,fenticonazole
19008897,manganese sulfate
19041536,testosterone 17-phenylpropionate
742594,trichloroacetaldehyde
952045,amphotericin
1557272,alendronate
19113001,durapatite
19115055,sennoside B
961304,shark liver oil
19137031,ispaghula husk
19004049,nicofuranose
19001311,epoetin beta
905233,mometasone
19015397,activated attapulgite
919839,Arnica extract
986417,polyethylene glycol 3350
19055378,potassium hydroxyquinoline sulfate
19065820,Passiflora incarnata extract
529660,hepatitis A vaccine (inactivated) strain HM175
42899620,nutmeg oil
42898952,coconut oil
42900359,calcitonin
42900365,benzene
42898900,Coffea arabica fruit extract
42903860,polyaminopropyl biguanide
42903865,DL-lactic acid
43012721,Haemophilus influenzae
43013089,ethylhexylglycerin
43013824,terpineol
43014054,cinnamate
43013623,erythritol
43560345,Vibrio cholerae
44814380,PPG-1-PEG-9 lauryl glycol ether
45775570,polystyrene sulfonate
45892906,C1 esterase inhibitor
963858,balsam peru oil
1511349,Senna pod
789800,sodium lauryl phosphate
19016670,docosahexaenoate
1436169,antithrombin III
19091464,dichlorophen
19117912,immunoglobulin G
19129738,paraffin
19136048,sodium
19136184,streptodornase
19071999,mecysteine
1525278,estropipate
19029018,prolintane
44785045,protein S
19041085,tartaric acid
1353228,vitamin B6
19068715,monofluorophosphate
787787,hyaluronate
19001308,oxerutins
1516800,risedronate
960900,aloe extract
19061374,halibut liver oil
19061494,squill extract
1300751,polysaccharide iron complex
19016889,magnesium orotate
19019131,magnesium aspartate
19018255,pyroglutamate
19090180,"insulin, protamine zinc, beef"
19055496,hexylnicotinate
1513876,"insulin lispro protamine, human"
19082660,elder extract
19086910,tiaprofenate
42900458,pine needle oil (pinus sylvestris)
42900366,cetostearyl alcohol
42900351,cajuput oil
42900035,Zanthoxylum americanum bark extract
42899438,lactoperoxidase
42899323,methanol
42899476,lanthanum
42903441,influenza A virus
42903627,dimethyl ether
43012207,cobalt sulfate
43012386,lauric acid diethanolamide
43012408,Streptococcus pneumoniae
43012496,all-trans-retinol
43526246,methyl 3-hydroxybenzoate
43526717,glyceryl phosphate
43532069,polawax polysorbate
43532150,prolactin
43532347,epidermal growth factor
43533015,ferric hydroxide
44507610,wheat preparation
44814322,hepatitis A virus
45775584,picosulfurate
46234461,benzyl cinnamate
1115572,beclomethasone
940183,carbachol
19069049,collagen
1507705,cortisone
19008867,cromoglycate
19031041,diphtheria antitoxin
19053864,felypressin
19054702,fibrinogen
1761033,glutaral
974140,hydrochloric acid
1500211,medroxyprogesterone
19018823,nicotinyl alcohol
19129648,papaveretum
1036157,starch
44785885,von Willebrand factor
19010493,xipamide
19054915,aldioxa
1595461,ethynodiol
1396131,ferrous sulfate
19003345,iron sorbitex
19071904,lithium succinate
19008999,mebhydroline
922024,paregoric
745466,valproate
958134,bismuth subcitrate
19112563,calcium polystyrene sulfonate product
1759842,clavulanate
19126516,malate
19060995,rhubarb preparation
19010400,fusidate
1315027,cranberry preparation
19011904,potassium aminobenzoate
19029278,diethylamine salicylate
19052430,dibasic sodium phosphate heptahydrate
19086788,potassium bitartrate
1389885,red yeast rice
19055217,carbomer
19056212,propylene glycol salicylate
19056447,fluprednidene
19056802,alpha tocopherol
19056872,thurfyl salicylate
19100761,felbinac
19071838,oats preparation
19013951,"insulin, regular, beef"
19082736,gentian preparation
19016537,Frangula preparation
1542948,follitropin alfa
19123754,ricinoleate
19127890,inert ingredients
529118,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine"
529218,"acellular pertussis vaccine, inactivated"
42899139,Hypericum extract
42899142,Hyssopus officinalis extract
42899052,eosine yellowish
42904153,hydroxypropyl cellulose (type e)
43012157,pine needle oil (pinus mugo)
43012259,diethyl phthalate
43012316,dimethicone 350
43525846,Achillea millefolium extract
43532266,cetearyl alcohol
43532137,polyoxyl 40 stearate
43532371,glyceryl 1-stearate
43532418,poliovirus
44506769,benzyl nicotinamide
44814269,aminomethylpropanol (perfluoro-C6-C12 ethyl)phosphate
44818477,Humulus lupulus whole extract
46234308,rabies virus
1510492,ursadiol
1366390,Bifidobacterium breve
37498625,"hepatitis A virus strain CR 326F antigen, inactivated"
19091514,aminacrine
19049228,estrogens
963742,gramicidin
19091830,lofepramine
19003140,mesterolone
19014035,nafronyl
19063387,rimiterol
19136040,carbaryl
1597235,follitropin beta
19097867,calcium glubionate
1000979,guar gum
19069080,hylan
19011028,mucopolysaccharide polysulfate
19023819,phenothrin
939871,sodium phosphate
19052447,chenodeoxycholate
1552929,etidronate
988095,ursodeoxycholate
900017,cascara sagrada
19135879,acetyl salicylate
902616,calamine
19011162,fennel seed preparation
1351557,candesartan
19055757,ethylnicotinate
19055902,ammonium salicylate
19091804,magnesium sulfate heptahydrate
19066566,Verbena extract
19071836,Calendula officinalis extract
19013782,D-biotin
914244,undecylenate
19101454,lauromacrogols
19112944,phosphate ion
19113007,bosentan monohydrate
986864,nalidixate
19086939,gamma-linolenate
19087063,eicosapentaenoate
528323,hepatitis B surface antigen vaccine
40242573,Bifidobacterium longum
42900100,titanium
42900339,almond oil
42899155,Hamamelis virginiana leaf extract
42899439,lanolin oil
42900497,lemon oil
42899436,Krameria lappacea root extract
42900087,sorbate
42899461,Lactuca virosa extract
42900227,Taraxacum officinale whole extract
42903442,influenza B virus
42904272,orange juice
43012168,hydroxypropyl guar (2500-4500 MPA.S at 1%)
43012413,triethanolamine lauryl sulfate
43012913,povidone K25
43013872,alginate
43014259,valerate
43532046,methyl undecenoyl leucinate
45775351,bicarbonate ion
45775636,meningococcal group B vaccine
