drug_concept_id,concept_name
1169352,alpha 1-antitrypsin
19099181,clopamide
19072083,cyclofenil
1563600,chorionic gonadotropin
19124477,lithium
19000556,mefruside
1300978,megestrol
19003010,meptazinol
1740226,cadexomer iodine
19089408,dibrompropamidine
19009145,mequitazine
19026134,poldine
938268,"sennosides, USP"
19039877,sodium perborate
19100440,terodiline
19042550,triazulenone
543291,varicella-zoster immune globulin
944360,zinc pyrithione
19001305,diloxanide
19007748,cetrimide
35604680,tetanus immune globulin
1354698,mesna
19040563,carbenoxolone
19010792,cyproterone
19035856,distigmine
19049350,ethamsylate
1352213,factor VIII
19077143,17-alpha-hydroxyprogesterone
19084915,karaya gum
1036525,sulfur
19095729,fenticonazole
19004049,nicofuranose
905233,mometasone
45775570,polystyrene sulfonate
1436169,antithrombin III
19091464,dichlorophen
19029018,prolintane
19016889,magnesium orotate
19019131,magnesium aspartate
43533015,ferric hydroxide
1115572,beclomethasone
940183,carbachol
19069049,collagen
1507705,cortisone
19031041,diphtheria antitoxin
974140,hydrochloric acid
1500211,medroxyprogesterone
19018823,nicotinyl alcohol
19129648,papaveretum
44785885,von Willebrand factor
19010493,xipamide
1595461,ethynodiol
1396131,ferrous sulfate
19071904,lithium succinate
19008999,mebhydroline
958134,bismuth subcitrate
19011904,potassium aminobenzoate
19056447,fluprednidene
19100761,felbinac
1542948,follitropin alfa
42899052,eosine yellowish
19091514,aminacrine
963742,gramicidin
19091830,lofepramine
19003140,mesterolone
19014035,nafronyl
19063387,rimiterol
1597235,follitropin beta
19097867,calcium glubionate
1000979,guar gum
19023819,phenothrin
939871,sodium phosphate
900017,cascara sagrada
1351557,candesartan
