drug_concept_id,times_taken,concept_name,atc_code
42873638,1,carfilzomib,L01XG02
19077143,1,17-alpha-hydroxyprogesterone,G03DA03
19098741,1,levobupivacaine,N01BB10
45892883,1,secukinumab,L04AC10
1758536,1,etravirine,J05AG04
19054702,1,,
43012207,1,,
40244266,1,aflibercept,S01LA05
40244266,1,aflibercept,L01XX44
19050633,1,sertindole,N05AE03
43532299,1,dabrafenib,L01EC02
42709322,1,axitinib,L01EK01
1354698,1,mesna,R05CB05
1354698,1,mesna,V03AF01
44785885,1,von Willebrand factor,B02BD10
42903427,1,aldosterone,H02AA01
544411,1,,
19026134,1,poldine,A03AB11
19095275,1,,
1714165,1,peginterferon alfa-2a,L03AB11
19002800,1,tropisetron,A04AA03
43532347,1,,
40238770,1,boceprevir,J05AP03
1354118,1,epoprostenol,B01AC09
19095341,1,,
19035226,1,remoxipride,N05AL04
1836191,1,streptomycin,A07AA04
1836191,1,streptomycin,J01GA01
19008261,1,viloxazine,N06AX09
42899908,1,,
1336825,1,bortezomib,L01XG01
19089810,1,gonadorelin,H01CA01
19089810,1,gonadorelin,V04CM01
42903860,1,,
44506769,1,,
35606631,1,mepolizumab,R03DX09
19071236,1,lactitol,A06AD12
35198044,1,,
35741965,1,,
19059630,1,,
19028947,1,dimethindene,D04AA13
19028947,1,dimethindene,R06AB03
1341149,1,temozolomide,L01AX03
1727443,1,paromomycin,A07AA06
19077884,1,sodium acetate,B05XA08
19035569,1,calcifediol,H05BX05
19035569,1,calcifediol,A11CC06
19017671,1,,
36878602,1,,
35606465,1,elbasvir,J05AP10
43014259,1,,
949453,1,,
1319219,1,,
40242675,1,crizotinib,L01ED01
963889,1,angiotensin II,C01CX09
1318011,1,oxaliplatin,L01XA03
44507610,1,,
19029018,1,prolintane,N06BX14
1000979,1,guar gum,A10BX01
19036781,1,calcium chloride,A12AA07
19036781,1,calcium chloride,B05XA07
19036781,1,calcium chloride,G04BA03
35606467,1,grazoprevir,J05AP11
36878932,1,,
19129638,1,,
19092377,1,lysine,B05XB03
1326901,1,papaverine,A03AD01
1326901,1,papaverine,G04BE02
43012721,1,,
19071840,1,,
1123534,1,phenindamine,R06AX04
45775570,1,polystyrene sulfonate,V03AE01
1343346,1,vinorelbine,L01CA04
46287466,1,evolocumab,C10AX13
42900351,1,,
1711523,1,indinavir,J05AE02
1102917,1,tolmetin,M01AB03
1102917,1,tolmetin,M02AA21
1743222,1,enoxacin,J01MA04
44814380,1,,
1724869,1,didanosine,J05AF02
19008870,1,mandelic acid,B05CA06
19008870,1,mandelic acid,J01XX06
19042545,1,treosulfan,L01AB02
40684656,1,,
19027475,1,,
19063981,1,rutin,C05CA01
19136066,1,somatostatin,H01CB01
19067073,1,helium,V03AN03
19092849,1,magnesium chloride,A12CC01
19092849,1,magnesium chloride,B05XA11
42709318,1,,
1352213,1,factor VIII,B02BD02
44506752,1,riociguat,C02KX05
1389888,1,bexarotene,L01XF03
19003491,1,isoconazole,D01AC05
19003491,1,isoconazole,G01AF07
19025498,1,piretanide,C03CA03
915392,1,natamycin,A01AB10
915392,1,natamycin,A07AA03
915392,1,natamycin,D01AA02
915392,1,natamycin,G01AA02
915392,1,natamycin,S01AA10
19011162,1,,
1366603,1,octenidine,A01AB24
1366603,1,octenidine,R02AA21
19082898,1,,
1378382,1,paclitaxel,L01CD01
908360,1,magaldrate,A02AD02
1711246,1,entecavir,J05AF10
19080458,1,eculizumab,L04AJ01
924151,1,,
19112944,1,,
1437379,1,thioguanine,L01BB03
43013089,1,,
40238930,1,rilpivirine,J05AG05
42801287,1,pertuzumab,L01FD02
44784806,1,,
1514412,1,nandrolone,A14AB01
1514412,1,nandrolone,S01XA11
42904205,1,tofacitinib,L04AF01
724908,1,biperiden,N04AA02
42899916,1,,
19136187,1,streptokinase,B01AD01
1774470,1,cefotaxime,J01DD01
19100393,1,,
19008897,1,,
19136184,1,,
1337068,1,ambrisentan,C02KX02
35198096,1,,
1189490,1,dichloralphenazone,N05CC04
19019176,1,nimorazole,P01AB06
19066274,1,,
19060985,1,glutamine,A16AA03
19035396,1,reproterol,R03AC15
19035396,1,reproterol,R03CC14
19011091,1,deferiprone,V03AC02
40799099,1,,
19071833,1,,
19042692,1,triclofos,N05CM07
19015397,1,,
753626,1,propofol,N01AX10
19043833,1,xamoterol,C01CX07
19018416,1,niclosamide,P02DA01
712757,1,amobarbital,N05CA02
19135931,1,cyanocobalamin Co57,V09XX01
