drug_concept_id,concept_name,atc_code
1103314,tramadol,N02AX02
19129738,,
1318853,nifedipine,C08CA05
1353776,felodipine,C08CA02
1110410,morphine,N02AA01
1705674,trimethoprim,J01EA01
19086560,danthron,A06AB03
1786621,cephalexin,J01DB01
1107830,loratadine,R06AX13
1353766,propranolol,C07AA05
941258,,
985708,ketoconazole,H02CA03
985708,ketoconazole,D01AC08
985708,ketoconazole,G01AF11
985708,ketoconazole,J02AB02
915981,neomycin,A01AB08
915981,neomycin,A07AA01
915981,neomycin,B05CA09
915981,neomycin,D06AX04
915981,neomycin,J01GB05
915981,neomycin,R02AB01
915981,neomycin,S01AA03
915981,neomycin,S02AA07
915981,neomycin,S03AA01
1518254,dexamethasone,A01AC02
1518254,dexamethasone,C05AA09
1518254,dexamethasone,D07AB19
1518254,dexamethasone,D07XB05
1518254,dexamethasone,D10AA03
1518254,dexamethasone,H02AB02
1518254,dexamethasone,R01AD03
1518254,dexamethasone,S01BA01
1518254,dexamethasone,S01CB01
1518254,dexamethasone,S02BA06
1518254,dexamethasone,S03BA01
19037833,domperidone,A03FA03
1146810,piroxicam,M01AC01
1146810,piroxicam,M02AA07
1146810,piroxicam,S01BC06
1196677,formoterol,R03CC15
1196677,formoterol,R03AC13
19044883,zopiclone,N05CF01
950435,citric acid,A09AB04
42899620,,
19086712,peppermint oil,A03AX15
939881,capsaicin,M02AB01
939881,capsaicin,N01BX04
929887,lansoprazole,A02BC03
733008,perphenazine,N05AB03
19111620,folic acid,V04CX02
19111620,folic acid,B03BB01
904453,esomeprazole,A02BC05
993979,malathion,P03AX03
956874,furosemide,C03CA01
984801,kaolin,A07BC02
19037706,,
1539403,simvastatin,C10AA01
19024636,,
1201620,codeine,R05DA04
1322184,clopidogrel,B01AC04
1314002,atenolol,C07AB03
19037989,dothiepin,N06AA16
911735,rabeprazole,A02BC04
19137031,,
19005129,clobetasone,D07AB01
19005129,clobetasone,S01BA09
1150871,misoprostol,A02BB01
1150871,misoprostol,G02AD06
1797513,ciprofloxacin,J01MA02
1797513,ciprofloxacin,S01AE03
1797513,ciprofloxacin,S02AA15
1797513,ciprofloxacin,S03AA07
766529,haloperidol,N05AD01
1338005,bisoprolol,C07AB07
743670,venlafaxine,N06AX16
19093848,magnesium sulfate,A06AD04
19093848,magnesium sulfate,A12CC02
19093848,magnesium sulfate,B05XA05
