drug_concept_id,unique_people_count,concept_name,atc_code
1713332,141912,amoxicillin,J01CA04
1125315,116112,acetaminophen,N02BE01
975125,108940,hydrocortisone,A01AC03
975125,108940,hydrocortisone,A07EA02
975125,108940,hydrocortisone,C05AA01
975125,108940,hydrocortisone,D07AA02
975125,108940,hydrocortisone,D07XA01
975125,108940,hydrocortisone,H02AB09
975125,108940,hydrocortisone,S01BA02
975125,108940,hydrocortisone,S01CB03
975125,108940,hydrocortisone,S02BA01
1201620,102314,codeine,R05DA04
1124300,95165,diclofenac,D11AX18
1124300,95165,diclofenac,M01AB05
1124300,95165,diclofenac,M02AA15
1124300,95165,diclofenac,S01BC03
1177480,93572,ibuprofen,C01EB16
1177480,93572,ibuprofen,G02CC01
1177480,93572,ibuprofen,M01AE01
1177480,93572,ibuprofen,M02AA13
1177480,93572,ibuprofen,R02AX02
19054936,89222,floxacillin,J01CF05
923645,82127,omeprazole,A02BC01
920458,71320,betamethasone,A07EA04
920458,71320,betamethasone,C05AA05
920458,71320,betamethasone,D07AC01
920458,71320,betamethasone,D07XC01
920458,71320,betamethasone,H02AB01
920458,71320,betamethasone,R01AD06
920458,71320,betamethasone,R03BA04
920458,71320,betamethasone,S01BA06
920458,71320,betamethasone,S01CB04
920458,71320,betamethasone,S02BA07
920458,71320,betamethasone,S03BA03
1705674,67857,trimethoprim,J01EA01
1115008,66203,naproxen,G02CC02
1115008,66203,naproxen,M01AE02
1115008,66203,naproxen,M02AA12
929887,62879,lansoprazole,A02BC03
1539403,62098,simvastatin,C10AA01
19010400,61557,,
35200165,61139,,
1115572,60639,beclomethasone,A07EA07
1115572,60639,beclomethasone,D07AC15
1115572,60639,beclomethasone,R01AD01
1115572,60639,beclomethasone,R03BA01
1000632,57668,clotrimazole,A01AB18
1000632,57668,clotrimazole,D01AC01
1000632,57668,clotrimazole,G01AF02
529411,57031,"tetanus toxoid vaccine, inactivated",J07AM01
990069,50617,chloramphenicol,D06AX02
990069,50617,chloramphenicol,D10AF03
990069,50617,chloramphenicol,G01AA05
990069,50617,chloramphenicol,J01BA01
990069,50617,chloramphenicol,S01AA01
990069,50617,chloramphenicol,S02AA01
990069,50617,chloramphenicol,S03AA08
1746940,50136,erythromycin,D10AF02
1746940,50136,erythromycin,J01FA01
1746940,50136,erythromycin,S01AA17
529303,49449,"diphtheria toxoid vaccine, inactivated",J07AF01
1154343,48761,albuterol,R03AC02
1154343,48761,albuterol,R03CC02
1738521,48294,doxycycline,A01AB22
1738521,48294,doxycycline,J01AA02
1759842,46277,,
907879,45607,miconazole,A01AB09
907879,45607,miconazole,A07AC01
907879,45607,miconazole,D01AC02
907879,45607,miconazole,G01AF04
