drug_concept_id,concept_name,atc_code
19137312,thiamine,A11DA01
950435,citric acid,A09AB04
1518254,dexamethasone,A01AC02
1518254,dexamethasone,C05AA09
1518254,dexamethasone,D07AB19
1518254,dexamethasone,D07XB05
1518254,dexamethasone,D10AA03
1518254,dexamethasone,H02AB02
1518254,dexamethasone,R01AD03
1518254,dexamethasone,S01BA01
1518254,dexamethasone,S01CB01
1518254,dexamethasone,S02BA06
1518254,dexamethasone,S03BA01
956874,furosemide,C03CA01
19095164,cholecalciferol,A11CC05
19011773,ascorbic acid,G01AD03
19011773,ascorbic acid,S01XA15
19011773,ascorbic acid,A11GA01
1318853,nifedipine,C08CA05
19129738,,
1105775,aminophylline,R03DA05
19087317,,
19062817,riboflavin,S01XA26
19062817,riboflavin,A11HA04
1308216,lisinopril,C09AA03
1539403,simvastatin,C10AA01
19049105,potassium chloride,A12BA01
19049105,potassium chloride,B05XA01
19018544,,
1797513,ciprofloxacin,J01MA02
1797513,ciprofloxacin,S01AE03
1797513,ciprofloxacin,S02AA15
1797513,ciprofloxacin,S03AA07
915981,neomycin,A01AB08
915981,neomycin,A07AA01
915981,neomycin,B05CA09
915981,neomycin,D06AX04
915981,neomycin,J01GB05
915981,neomycin,R02AB01
915981,neomycin,S01AA03
915981,neomycin,S02AA07
915981,neomycin,S03AA01
929887,lansoprazole,A02BC03
901656,,
19009405,,
1201620,codeine,R05DA04
1705674,trimethoprim,J01EA01
948582,polymyxin B,A07AA05
948582,polymyxin B,J01XB02
948582,polymyxin B,S01AA18
948582,polymyxin B,S02AA11
948582,polymyxin B,S03AA03
1146810,piroxicam,M01AC01
1146810,piroxicam,M02AA07
1146810,piroxicam,S01BC06
1741309,terbinafine,D01AE15
1741309,terbinafine,D01BA02
985708,ketoconazole,H02CA03
985708,ketoconazole,D01AC08
985708,ketoconazole,G01AF11
985708,ketoconazole,J02AB02
19111620,folic acid,V04CX02
19111620,folic acid,B03BB01
1394027,,
19018419,niacinamide,A11HA01
951511,mupirocin,D06AX09
951511,mupirocin,R01AX06
42900366,,
1196677,formoterol,R03CC15
1196677,formoterol,R03AC13
1786621,cephalexin,J01DB01
19037706,,
1322184,clopidogrel,B01AC04
19093848,magnesium sulfate,A06AD04
19093848,magnesium sulfate,A12CC02
19093848,magnesium sulfate,B05XA05
19093848,magnesium sulfate,D11AX05
19093848,magnesium sulfate,V04CC02
19008339,vitamin A,D10AD02
19008339,vitamin A,R01AX02
19008339,vitamin A,S01XA02
19008339,vitamin A,A11CA01
19009896,,
19117912,,
19033278,,
1103314,tramadol,N02AX02
1107830,loratadine,R06AX13
1360067,,
19037833,domperidone,A03FA03
19032619,amorolfine,D01AE16
1103006,desloratadine,R06AX27
19005129,clobetasone,D07AB01
19005129,clobetasone,S01BA09
35741950,,
1308738,vitamin B12,B03BA01
908523,mineral oil,A06AA01
1550557,prednisolone,A01AC04
1550557,prednisolone,A07EA01
1550557,prednisolone,C05AA04
1550557,prednisolone,D07AA03
1550557,prednisolone,D07XA02
1550557,prednisolone,H02AB06
1550557,prednisolone,R01AD02
1550557,prednisolone,S01BA04
1550557,prednisolone,S01CB02
1550557,prednisolone,S02BA03
1550557,prednisolone,S03BA02
1125315,acetaminophen,N02BE01
991382,amiloride,C03DB01
1557272,,
1717327,ampicillin,J01CA01
1717327,ampicillin,S01AA19
19011028,,
939259,budesonide,A07EA06
939259,budesonide,D07AC09
939259,budesonide,R01AD05
939259,budesonide,R03BA02
45775351,,
1309944,amiodarone,C01BD01
1137529,salmeterol,R03AC12
1790812,chlorhexidine,A01AB03
1790812,chlorhexidine,B05CA02
1790812,chlorhexidine,D08AC02
1790812,chlorhexidine,D09AA12
1790812,chlorhexidine,R02AA05
1790812,chlorhexidine,S01AX09
1790812,chlorhexidine,S02AA09
1790812,chlorhexidine,S03AA04
19115055,,
922570,nystatin,A07AA02
922570,nystatin,D01AA01
922570,nystatin,G01AA01
19014977,nicorandil,C01DX16
710062,amitriptyline,N06AA09
923645,omeprazole,A02BC01
990069,chloramphenicol,D06AX02
990069,chloramphenicol,D10AF03
990069,chloramphenicol,G01AA05
990069,chloramphenicol,J01BA01
990069,chloramphenicol,S01AA01
990069,chloramphenicol,S02AA01
990069,chloramphenicol,S03AA08
1549686,fluvastatin,C10AA04
1106776,,
937725,,
19059796,gliclazide,A10BB09
1319156,,
1153013,promethazine,D04AA10
1153013,promethazine,R06AD02
19027080,,
19043395,,
1367500,losartan,C09CA01
902616,,
43532069,,
908464,magnesium carbonate,A02AA01
908464,magnesium carbonate,A06AD01
1177480,ibuprofen,C01EB16
1177480,ibuprofen,G02CC01
1177480,ibuprofen,M01AE01
1177480,ibuprofen,M02AA13
1177480,ibuprofen,R02AX02
1316354,bendroflumethiazide,C03AA01
1760616,quinine,P01BC01
1328165,diltiazem,C08DB01
1328165,diltiazem,C05AE03
1738521,doxycycline,A01AB22
1738521,doxycycline,J01AA02
915175,bacitracin,S01AA32
915175,bacitracin,D06AX05
915175,bacitracin,J01XX10
915175,bacitracin,R02AB04
967496,lodoxamide,S01GX05
911064,,
998415,clobetasol,D07AD01
1780601,iodine,D08AG03
19010696,,
1332418,amlodipine,C08CA01
987245,lactulose,A06AD11
1149380,fluticasone,D07AC17
1149380,fluticasone,R01AD08
1149380,fluticasone,R03BA05
945913,,
949279,,
1750500,clarithromycin,J01FA09
19010400,,
19136048,,
975125,hydrocortisone,A01AC03
975125,hydrocortisone,A07EA02
975125,hydrocortisone,C05AA01
975125,hydrocortisone,D07AA02
975125,hydrocortisone,D07XA01
975125,hydrocortisone,H02AB09
975125,hydrocortisone,S01BA02
975125,hydrocortisone,S01CB03
975125,hydrocortisone,S02BA01
1759842,,
1154332,pseudoephedrine,R01BA02
19041843,carbocysteine,R05CB03
924566,tamsulosin,G04CA02
19035704,calcium carbonate,A02AC01
19035704,calcium carbonate,A12AA04
1750087,povidone-iodine,D08AG02
1750087,povidone-iodine,D09AA09
1750087,povidone-iodine,D11AC06
1750087,povidone-iodine,G01AX11
1750087,povidone-iodine,R02AA15
1750087,povidone-iodine,S01AX18
1000995,,
529660,,
1734104,azithromycin,J01FA10
1734104,azithromycin,S01AA26
989878,lidocaine,C01BB01
989878,lidocaine,C05AD01
989878,lidocaine,D04AB01
989878,lidocaine,N01BB02
989878,lidocaine,R02AD02
989878,lidocaine,S01HA07
989878,lidocaine,S02DA01
961047,ranitidine,A02BA02
1123995,metaproterenol,R03AB03
1123995,metaproterenol,R03CB03
1152631,cromolyn,A07EB01
1152631,cromolyn,D11AH03
1152631,cromolyn,R01AC01
1152631,cromolyn,R03BC01
1152631,cromolyn,S01GX01
19024213,pholcodine,R05DA08
1580747,sitagliptin,A10BH01
1195334,,
968426,mesalamine,A07EC02
1717240,amphotericin B,A01AB04
1717240,amphotericin B,A07AA07
1717240,amphotericin B,G01AA03
1717240,amphotericin B,J02AA01
948515,polyethylene glycols,A06AD15
19019620,benzydamine,A01AD02
19019620,benzydamine,G02CC03
19019620,benzydamine,M01AX07
19019620,benzydamine,M02AA05
19019620,benzydamine,R02AX03
964407,salicylic acid,D01AE12
964407,salicylic acid,S01BC08
934075,azelastine,R01AC03
934075,azelastine,R06AX19
934075,azelastine,S01GX07
19029278,,
1545958,atorvastatin,C10AA05
939506,sodium bicarbonate,B05CB04
939506,sodium bicarbonate,B05XA02
915855,olopatadine,R01AC08
915855,olopatadine,S01GX09
532881,,
19092412,chlorobutanol,A04AD04
19026739,,
19037891,,
1036525,sulfur,D10AB02
925952,oxytetracycline,A01AB25
925952,oxytetracycline,D06AA03
925952,oxytetracycline,G01AA07
925952,oxytetracycline,J01AA06
925952,oxytetracycline,S01AA04
966282,,
1124300,diclofenac,D11AX18
1124300,diclofenac,M01AB05
1124300,diclofenac,M02AA15
1124300,diclofenac,S01BC03
42900448,,
923540,phenol,C05BB05
923540,phenol,D08AE03
923540,phenol,N01BX03
923540,phenol,R02AA19
1189596,dihydrocodeine,N02AA08
19071128,,
1149196,cetirizine,S01GX12
1149196,cetirizine,R06AE07
996541,,
1000632,clotrimazole,A01AB18
1000632,clotrimazole,D01AC01
1000632,clotrimazole,G01AF02
1526475,ezetimibe,C10AX09
1192710,chlorpheniramine,R06AB04
40234201,butylscopolamine,A03BB01
1115572,beclomethasone,A07EA07
1115572,beclomethasone,D07AC15
1115572,beclomethasone,R01AD01
1115572,beclomethasone,R03BA01
905233,mometasone,D07AC13
905233,mometasone,D07XC03
905233,mometasone,R01AD09
905233,mometasone,R03BA07
929549,acetic acid,G01AD02
929549,acetic acid,S02AA10
986417,,
985247,aluminum hydroxide,A02AB01
1552929,,
19033354,,
752061,prochlorperazine,N05AB04
1153664,propoxyphene,N02AC04
924939,bisacodyl,A06AB02
924939,bisacodyl,A06AG02
19071999,,
961145,glycerin,A06AG04
961145,glycerin,A06AX01
908730,,
1114620,nedocromil,R01AC07
1114620,nedocromil,R03BC03
1114620,nedocromil,S01GX04
19009540,vitamin E,A11HA03
922976,,
42903865,,
1746940,erythromycin,D10AF02
1746940,erythromycin,J01FA01
1746940,erythromycin,S01AA17
1510813,rosuvastatin,C10AA07
19024770,biotin,A11HA05
1768849,cefaclor,J01DC04
43532371,,
19036946,benzyl benzoate,P03AX01
19055156,flumethasone,D07AB03
19055156,flumethasone,D07XB01
836715,temazepam,N05CD07
19061821,,
1713332,amoxicillin,J01CA04
1112921,,
1503297,metformin,A10BA02
19025274,oxygen,V03AN01
1154343,albuterol,R03AC02
1154343,albuterol,R03CC02
19005046,pyridoxine,A11HA02
1396131,ferrous sulfate,B03AA07
1112807,aspirin,A01AD05
1112807,aspirin,B01AC06
1112807,aspirin,N02BA01
1154161,montelukast,R03DC03
19084696,,
943852,xylometazoline,R01AA07
943852,xylometazoline,R01AB06
943852,xylometazoline,S01GA03
967823,sodium chloride,A12CA01
967823,sodium chloride,B05CB01
967823,sodium chloride,B05XA03
1361711,nitroglycerin,C01DA02
1361711,nitroglycerin,C05AE01
45892419,gentamicin,D06AX07
45892419,gentamicin,J01GB03
45892419,gentamicin,S01AA11
45892419,gentamicin,S02AA14
45892419,gentamicin,S03AA06
980867,clioquinol,D08AH30
980867,clioquinol,D09AA10
980867,clioquinol,G01AC02
980867,clioquinol,P01AA02
980867,clioquinol,S02AA05
19049024,,
19124906,,
1373225,perindopril,C09AA04
19054936,floxacillin,J01CF05
19030059,alginic acid,A02BX13
1180412,,
1351557,candesartan,C09CA06
1701928,activated charcoal,A07BA01
19045045,ergocalciferol,A11CC01
19058343,,
1334456,ramipril,C09AA05
902251,hypromellose,S01KA02
906780,metoclopramide,A03FA01
1595799,ferrous fumarate,B03AA02
903963,triamcinolone,A01AC01
903963,triamcinolone,C05AA12
903963,triamcinolone,D07AB09
903963,triamcinolone,D07XB02
903963,triamcinolone,H02AB08
903963,triamcinolone,R01AD11
903963,triamcinolone,R03BA06
903963,triamcinolone,S01BA05
907879,miconazole,A01AB09
907879,miconazole,A07AC01
907879,miconazole,D01AC02
907879,miconazole,G01AF04
907879,miconazole,J02AB01
907879,miconazole,S02AA13
920458,betamethasone,A07EA04
920458,betamethasone,C05AA05
920458,betamethasone,D07AC01
920458,betamethasone,D07XC01
920458,betamethasone,H02AB01
920458,betamethasone,R01AD06
920458,betamethasone,R03BA04
920458,betamethasone,S01BA06
920458,betamethasone,S01CB04
920458,betamethasone,S02BA07
920458,betamethasone,S03BA03
19069022,sodium fluoride,A01AA01
19069022,sodium fluoride,A12CD01
